date,event_type,description,Global_Index,Jupiter-Saturn,Jupiter-Saturn_angle,Jupiter-Uranus,Jupiter-Uranus_angle,Jupiter-Neptune,Jupiter-Neptune_angle,Jupiter-Pluto,Jupiter-Pluto_angle,Saturn-Uranus,Saturn-Uranus_angle,Saturn-Neptune,Saturn-Neptune_angle,Saturn-Pluto,Saturn-Pluto_angle,Uranus-Neptune,Uranus-Neptune_angle,Uranus-Pluto,Uranus-Pluto_angle,Neptune-Pluto,Neptune-Pluto_angle
1756-05-17,war_start,Seven Years War begins,-1.6247643567732295,-0.5194859182771555,121.29777422762211,-0.9370997450676458,159.57006499124319,0.48864858322420324,60.748204485395746,0.3650109021298717,68.59174635906689,0.7850760146762825,38.27229076362107,-0.9993624990856464,177.95402128698214,0.6059047082073579,52.706027868555225,-0.7624620539086953,139.68173052336107,-0.01707405157577137,90.9783186321763,-0.6339202970960305,129.33995084446263
1757-06-23,battle,Battle of Plassey,-1.211391220987167,-0.2212368174016757,102.78168761234633,-0.6975862189536458,134.23366538526017,0.04248972746736545,87.56478482140542,0.7643954717783118,40.14675954581145,0.8530777948877025,31.451977772913835,-0.9837396883743805,169.65352756624824,0.45965847838074075,62.63492806653488,-0.7454940284445423,138.2015497933344,-0.07126949112693347,94.08690583944872,-0.6116864492001096,127.71154436721687
1759-09-13,battle,Battle of Quebec,-0.3533956127781542,0.5065156509216182,59.56798357069857,0.22773658799460877,76.83614824747065,-0.8107641623863127,144.17065947325528,0.9392658068656086,20.07137843540073,0.9549258828752788,17.268164676772074,-0.9153912920868104,156.26135695604614,0.17984339244159425,79.6393620060993,-0.7546316238373456,138.99319227927407,-0.1202672517608792,96.90752668287138,-0.5606286038055148,124.09928103785455
1763-02-10,war_end,Treaty of Paris ends Seven Years War,-0.3172141068588483,0.9695549612559995,14.174375726928066,0.9141625802637657,23.91291910966595,-0.3549515336020858,110.7904740170704,-0.5187059068948064,121.2454862586763,0.9855899017527573,9.738543382737882,-0.5730737887411853,124.96484974399846,-0.29355836141932756,107.07111053174825,-0.7034367959986265,134.70339312673633,-0.12762838479192007,97.33256714901034,-0.6151667786834193,127.9640397242533
1775-04-19,war_start,Battles of Lexington and Concord,-2.037559409911515,-0.6696644477982423,132.0411720048746,0.988077452096136,8.856346626184084,-0.48039562643955,118.71124418635947,-0.4225379865547269,114.99492519600162,-0.5473415896853595,123.1848253786905,0.9730585760794583,13.32992781851513,-0.390151119112543,112.96390279912379,-0.33963926310872117,109.85489756017537,-0.5570390091824564,123.85127182218571,-0.5919263962055096,126.29383061763892
1776-07-04,political,US Declaration of Independence,-1.3134327423876466,-0.15566619513765603,98.95543541987215,0.8915003704428508,26.937607548344445,0.23217448335021862,76.57487344872911,-0.9289869881980275,158.2774516251416,-0.58627399463757,125.89304296821659,0.9246752614268905,22.380561971143038,-0.22098873789058704,102.76711295498626,-0.23365717402400848,103.51248099707355,-0.6605239451690482,131.33984407679714,-0.5756858225507092,125.1476749261293
1777-10-17,battle,Battle of Saratoga,-0.7050360413706187,0.3010419077083528,72.47980674247026,0.386091702634335,67.28846876874078,0.8134341173321629,35.567176086242114,-0.9094224779749992,155.42566387772126,-0.7634385237253871,139.76827551121104,0.7995522784972151,36.912630656228146,0.12280721643657037,82.945857135251,-0.2224954443218586,102.8556448549829,-0.7347472971082794,137.28586735353795,-0.4978595208487307,119.85848779147915
1781-10-19,battle,Siege of Yorktown ends,-0.18390584508877078,0.9558834055157533,17.082377937986394,-0.832606923245815,146.36747081905867,0.6039515326867608,52.84656735099054,0.4198230264654683,65.1765850831448,-0.9585707677400993,163.44984875704506,0.34318522916727695,69.92894528897693,0.6679078052225017,48.09420714515841,-0.061412689317155114,93.52090346806811,-0.8522381524538031,148.45594409779653,-0.46982831138965925,118.02315243413534
1783-09-03,war_end,Treaty of Paris recognizes USA,-0.73945462009253,0.9563297035771114,16.99511035952105,-0.9783731611517797,168.06231882870293,-0.24318334698041924,104.07450056335335,0.9652959324553646,15.138814611556768,-0.9961068390087731,174.94257081177602,0.050952184938644285,87.0793902038323,0.8468071305086329,32.13392497107782,0.03728588912879432,87.86318060794372,-0.8903996060557741,152.92350421714616,-0.48806250750433144,119.21331517491012
1792-04-20,war_start,France declares war on Austria,-2.125400994325585,-0.9987139497094605,177.09388255910912,0.3233512402703947,71.13428473414928,0.9991089128369,2.4189671950186096,-0.4588966019098565,117.31593013300807,-0.3709113359096592,111.7718327067416,-0.9956841620374178,174.6749153640905,0.5033524847064148,59.777952426101024,0.2831240744891977,73.55325192916789,-0.9891439237247591,171.54978513284266,-0.4209877333373391,114.89696293798946
