name,birth_date,death_date,age_at_death,cause,sun_sign,sun_element,sun_saturn_hard,moon_saturn_hard,mars_sign,sun_neptune_aspect,cos_return_Sun,angle_return_Sun,cos_return_Moon,angle_return_Moon,cos_return_Mercury,angle_return_Mercury,cos_return_Venus,angle_return_Venus,cos_return_Mars,angle_return_Mars,cos_return_Jupiter,angle_return_Jupiter,cos_return_Saturn,angle_return_Saturn,cos_return_Uranus,angle_return_Uranus,cos_return_Neptune,angle_return_Neptune,cos_return_Pluto,angle_return_Pluto,cos_return_North Node,angle_return_North Node,birth_doy,death_doy,days_from_birthday,profession,Sun_Lon,Moon_Lon,Ceres_Sign,Ceres_Lon,Ceres_Sun_Conj,Ceres_Moon_Conj,Pallas_Sign,Pallas_Lon,Pallas_Sun_Conj,Pallas_Moon_Conj,Juno_Sign,Juno_Lon,Juno_Sun_Conj,Juno_Moon_Conj,Vesta_Sign,Vesta_Lon,Vesta_Sun_Conj,Vesta_Moon_Conj,Chiron_Sign,Chiron_Lon,Chiron_Sun_Conj,Chiron_Moon_Conj
Karl Lagerfeld,1933-09-10 12:00:00,2019-02-19,85.44010951403149,cancer,Virgo,Earth,False,False,Scorpio,True,-0.9574899951647108,163.2338314239218,0.0657956528123125,86.22746150822971,-0.999999995432071,179.99452357296235,0.1031860969707487,84.0773301143754,-0.9933923740269068,173.40978195101837,0.1633315840888722,80.59967350764094,0.9151022151073394,336.22024711898547,0.998995365972484,2.56849034647524,-0.9956103647096396,185.37045205556865,-0.9992972858790876,177.85191033339805,-0.8425600743449855,147.41145277644014,253,50,162,artist,167.30954402969525,62.00115846982478,Aries,20.604508231481297,False,False,Aquarius,324.25670565978646,False,False,Scorpio,215.53593471464674,False,False,Leo,138.78231148546973,False,False,Gemini,64.08513361750809,False,True
Hubert de Givenchy,1927-02-21 03:00:00,2018-03-10,91.0444900752909,natural,Pisces,Water,True,False,Taurus,False,0.9490447417321016,18.369347911196428,0.3249426630876481,71.03789871336139,0.949420405701836,18.300925479761872,0.981315840810926,11.093100311686555,-0.8964666764230463,206.30255436945,-0.2526403947662201,255.3661876723909,0.8589234340848999,30.80407981938376,0.878652801820465,28.519723696262872,-0.9471585229441832,198.70924674001571,-0.9929414468964975,186.81163333548693,0.7771164522745183,39.00268655312527,52,69,17,,331.4874053195738,200.01466389366837,Sagittarius,252.8311580696547,False,False,Scorpio,234.2764219913511,False,False,Aries,15.37892424763869,False,False,Scorpio,223.93387053735418,False,False,Aries,28.417987768756024,False,False
Oscar de la Renta,1932-07-22 12:00:00,2014-10-20,82.24229979466119,cancer,Cancer,Water,True,False,Gemini,False,0.0421238756934736,87.58576536868223,-0.9922214938442055,172.84898570909704,0.6001587641928274,53.11873086001009,-0.451093848519502,116.81388581833464,-0.9967439694239306,184.6248726396764,0.9928769725262144,353.1572910458651,0.3580082942741104,290.9779288365545,0.9866715537759628,350.63493172527177,-0.9997295266286004,178.66736972111147,-0.9825197011630566,169.27130925184505,-0.8723423683487276,209.26801063894723,204,293,89,,119.43116449093576,355.46988672316485,Capricorn,287.16128603466336,False,False,Sagittarius,255.198510209963,False,False,Leo,149.85527440502042,False,False,Taurus,52.95393293817859,False,False,Taurus,57.7379632979446,False,False
Gia Carangi,1960-01-29 12:00:00,1986-11-18,26.80082135523614,disease,Aquarius,Air,False,False,Capricorn,True,0.2965600013479589,287.251105481135,-0.3816894612060529,112.4383710999561,0.0682811385343335,273.9152674545917,0.5488184122506119,303.2859888214225,0.7249349733825731,43.536561345968494,0.1993746505279332,78.4996073115961,0.843871453688237,327.55122233332423,-0.5228789771563055,121.52556648084408,0.5732035413642605,55.02607807162346,0.4618238061288076,62.49514286593808,-0.9299036524008704,201.58019885967155,29,322,72,,308.5964791074067,325.30070494132553,Capricorn,290.7266358048613,False,False,Capricorn,273.0442810776949,False,False,Sagittarius,254.61241088155296,False,False,Sagittarius,252.77065618752647,False,False,Aquarius,326.17794091148323,False,True
Johnny Carson,1925-10-23 07:15:00,2005-01-23,79.24982888432581,disease,Libra,Air,False,False,Libra,False,-0.0736086220362353,94.2212812250452,-0.9991243655511436,182.39789821904236,0.3472813864461744,69.67887756263502,0.8312331692774825,33.774376533232584,0.4381129698032995,64.01645695790745,0.0537720104778225,273.08239589657626,-0.3716145864408453,248.18477248026053,0.9551510560386504,342.77535056489626,-0.985414232297782,170.20213231299067,-0.9320140823925492,158.75098221702854,-0.0499222079850805,267.13847874475044,296,23,92,,209.36612771841706,280.10279569445316,Leo,134.5258836060854,False,False,Gemini,86.61894339160267,False,False,Sagittarius,259.77229489176796,False,False,Cancer,95.0011888948463,False,False,Aries,25.88867581613881,False,False
Ed McMahon,1923-03-06 12:00:00,2009-06-23,86.29705681040383,disease,Pisces,Water,False,False,Taurus,False,-0.2966707955680631,107.257752665459,-0.3389162840948316,250.18913800243567,-0.3626832488584822,111.26507524824136,-0.2924305783332077,107.00352737046585,0.9662497411400328,14.928125443513384,-0.1386813287463489,97.97154761303612,0.8391611778033875,327.0516477869804,0.9744686852714988,12.97485713899215,-0.9840302403653703,190.25336657748787,-0.992193902287346,172.83629754416268,-0.6540515236596307,130.84777052462732,65,174,109,,344.8996470009739,211.6792059007844,Capricorn,294.8057133711303,False,False,Capricorn,280.2468923056027,False,False,Gemini,63.96673632299761,False,False,Virgo,161.54464999514448,False,False,Aries,15.083985315353836,False,False
Dick Clark,1929-11-30 12:00:00,2012-04-18,82.3791923340178,cardiac,Sagittarius,Fire,False,False,Sagittarius,True,-0.7775747051837134,141.0390509357158,-0.4702899966153043,118.05312248746776,-0.3748468154793507,112.01484541703718,-0.9335386117780842,201.0066843112677,-0.0839961910496586,265.1816955782209,0.909832750258065,335.4822490789886,0.4373365762346544,295.9340673096889,0.9995727367428164,358.3250537759661,-0.9998417022776722,178.98051534703572,-0.9855157461321984,170.23637041864586,-0.893937419473486,206.62773080513435,334,109,140,,247.8127248633496,239.93370567223843,Gemini,72.98058397058219,False,False,Pisces,353.8621292184732,False,False,Sagittarius,256.7630796423119,False,False,Leo,135.72573342656557,False,False,Taurus,40.78847386553238,False,False
Ed Sullivan,1901-09-28 12:00:00,1974-10-13,73.03764544832306,cancer,Libra,Air,True,True,Scorpio,True,0.9653891746273002,15.118344618213284,-0.962402814550394,164.23893854558642,0.969163879436222,14.265593920493671,0.8702096984793646,330.48301696253225,0.8779875739077093,331.40055040794493,0.4346917058469684,64.23432173273432,-0.9886021091454182,188.658910391844,0.6966162293900695,314.15615012873343,-0.914730764002753,156.16752086484888,-0.3177094664255359,108.52445954275632,0.8886289407143634,27.29853736044461,271,286,15,,184.65165069843013,8.355550598424452,Taurus,40.59071647446621,False,False,Pisces,339.9477224885836,False,False,Virgo,150.02256819444372,False,False,Libra,194.51934396711408,False,False,Sagittarius,269.94666607744745,False,False
Merv Griffin,1925-07-06 04:40:00,2007-08-12,82.09719370294319,cancer,Cancer,Water,False,False,Leo,False,0.8107039526996146,35.83523337733729,-0.8621388912433368,210.44240756796265,0.965918535420536,15.001613923115997,0.9058036704601398,25.068257604324643,0.4570688202770785,297.19812497074696,0.7859776501015511,321.8111895649596,0.3366511290088173,289.6729735642076,0.9910223745304132,352.3167702646986,-0.9999916756095916,179.7662163410017,-0.958292527230745,163.39397498696235,-0.8474557037279367,212.0639933075236,187,224,37,,103.58052564694972,283.4457757795787,Cancer,91.54983594441156,False,False,Taurus,50.30206474681515,False,False,Sagittarius,246.2607643275072,False,False,Gemini,64.06238622968498,False,False,Aries,28.060080841795916,False,False
Mike Wallace,1918-05-09 12:00:00,2012-04-07,93.9110198494182,natural,Taurus,Earth,False,True,Virgo,False,0.8663037060077092,330.0319064747079,-0.9949765964973004,174.2546216572895,0.8074480632281448,323.84734439239446,0.4892678266104004,60.707530702766014,0.9816172971538486,348.9970317571424,0.861163932923699,329.4475214657885,0.2010855908013138,78.39955139818494,0.79005908738999,37.80896635543769,-0.8845812552718646,207.7999655948964,-0.9951825563558836,185.62626851273055,0.9592073947098196,343.57838552092926,129,98,31,,48.038358148302834,33.66633846031527,Capricorn,279.7278404161551,False,False,Sagittarius,255.83572238367785,False,False,Taurus,33.06634196437017,False,True,Taurus,54.974202843906646,True,False,Aries,2.0741305022152594,False,False
