Date,Close,High,Low,Open,Volume,Return,Realized_Vol_30d
1950-02-15,17.059999465942383,17.059999465942383,17.059999465942383,17.059999465942383,1730000,0.0,10.242358231764634
1950-02-16,16.989999771118164,16.989999771118164,16.989999771118164,16.989999771118164,1920000,-0.004103147539011531,9.826332687927188
1950-02-17,17.149999618530273,17.149999618530273,17.149999618530273,17.149999618530273,1940000,0.009417295442469609,10.099624538458771
1950-02-20,17.200000762939453,17.200000762939453,17.200000762939453,17.200000762939453,1420000,0.0029155186892921847,10.098816894072893
1950-02-21,17.170000076293945,17.170000076293945,17.170000076293945,17.170000076293945,1260000,-0.0017442258903935803,9.983145967965697
1950-02-23,17.209999084472656,17.209999084472656,17.209999084472656,17.209999084472656,1310000,0.002329586954046503,9.956530999345139
1950-02-24,17.280000686645508,17.280000686645508,17.280000686645508,17.280000686645508,1710000,0.004067495984704017,9.97274936325991
1950-02-27,17.280000686645508,17.280000686645508,17.280000686645508,17.280000686645508,1410000,0.0,8.042041276660353
1950-02-28,17.219999313354492,17.219999313354492,17.219999313354492,17.219999313354492,1310000,-0.0034723015571050952,7.9287943229384785
1950-03-01,17.239999771118164,17.239999771118164,17.239999771118164,17.239999771118164,1410000,0.0011614668154000807,7.908295111737934
1950-03-02,17.229999542236328,17.229999542236328,17.229999542236328,17.229999542236328,1340000,-0.00058005968762187,7.606160396855957
1950-03-03,17.290000915527344,17.290000915527344,17.290000915527344,17.290000915527344,1520000,0.0034823781128916487,7.635982446586703
1950-03-06,17.31999969482422,17.31999969482422,17.31999969482422,17.31999969482422,1470000,0.0017350363047079487,7.639605710725203
1950-03-07,17.200000762939453,17.200000762939453,17.200000762939453,17.200000762939453,1590000,-0.006928344919118312,7.961514332208207
1950-03-08,17.190000534057617,17.190000534057617,17.190000534057617,17.190000534057617,1360000,-0.0005814086301312305,7.966682844900812
1950-03-09,17.06999969482422,17.06999969482422,17.06999969482422,17.06999969482422,1330000,-0.006980851396464316,8.179131871096109
1950-03-10,17.09000015258789,17.09000015258789,17.09000015258789,17.09000015258789,1260000,0.0011716730006583465,7.861514086887279
1950-03-13,17.1200008392334,17.1200008392334,17.1200008392334,17.1200008392334,1060000,0.001755452684473191,7.857299668762847
1950-03-14,17.25,17.25,17.25,17.25,1140000,0.007593408551048952,7.99490071327482
1950-03-15,17.450000762939453,17.450000762939453,17.450000762939453,17.450000762939453,1830000,0.011594247126924806,7.959729105445357
1950-03-16,17.489999771118164,17.489999771118164,17.489999771118164,17.489999771118164,2060000,0.0022922066722004253,7.966516706959759
1950-03-17,17.450000762939453,17.450000762939453,17.450000762939453,17.450000762939453,1600000,-0.0022869644769671904,8.015439170984948
1950-03-20,17.440000534057617,17.440000534057617,17.440000534057617,17.440000534057617,1430000,-0.0005730789939605296,7.466697831772412
1950-03-21,17.450000762939453,17.450000762939453,17.450000762939453,17.450000762939453,1400000,0.0005734076018120149,7.41022549159247
1950-03-22,17.549999237060547,17.549999237060547,17.549999237060547,17.549999237060547,2010000,0.005730571332321688,7.565493657708487
1950-03-23,17.559999465942383,17.559999465942383,17.559999465942383,17.559999465942383,2020000,0.0005698136362717321,7.373635268575702
1950-03-24,17.559999465942383,17.559999465942383,17.559999465942383,17.559999465942383,1570000,0.0,7.356615242970024
