Category,Feature,Value,Avg_Births,Days_Count,Deviance_Pct
Planet_Sign,Moon,Aquarius,9845.888157894737,152,-0.5267252657962702
Planet_Sign,Moon,Aries,9887.4125,160,-0.10720371282372815
Planet_Sign,Moon,Cancer,9898.672839506173,162,0.006559802192411925
Planet_Sign,Moon,Capricorn,9874.280821917808,146,-0.23987341215843702
Planet_Sign,Moon,Gemini,9901.27950310559,161,0.0328949951385757
Planet_Sign,Moon,Leo,9850.822368421053,152,-0.4768748032062448
Planet_Sign,Moon,Libra,9887.222222222223,144,-0.1091260943662731
Planet_Sign,Moon,Pisces,9961.46052631579,152,0.6409055026288127
Planet_Sign,Moon,Sagittarius,9956.64827586207,145,0.592287205955505
Planet_Sign,Moon,Scorpio,9901.326388888889,144,0.03336868347713687
Planet_Sign,Moon,Taurus,9889.296296296296,162,-0.08817166781980429
Planet_Sign,Moon,Virgo,9925.315068493152,146,0.2757269632502293
Planet_Sign,Mercury,Aquarius,9603.933333333332,180,-2.9712014116647487
Planet_Sign,Mercury,Aries,9730.289156626506,83,-1.6946251065977316
Planet_Sign,Mercury,Cancer,10191.295597484277,159,2.9629354517062216
Planet_Sign,Mercury,Capricorn,9638.554945054944,182,-2.6214183307180727
Planet_Sign,Mercury,Gemini,10089.565217391304,161,1.9351506662687403
Planet_Sign,Mercury,Leo,10415.941176470587,102,5.23253582071017
Planet_Sign,Mercury,Libra,10026.524064171123,187,1.2982441878212945
Planet_Sign,Mercury,Pisces,9747.189655172413,174,-1.5238789120399547
Planet_Sign,Mercury,Sagittarius,9532.221238938053,113,-3.6957106436558704
Planet_Sign,Mercury,Scorpio,9723.125714285714,175,-1.7669975585879456
Planet_Sign,Mercury,Taurus,9963.361842105263,152,0.6601145475468283
Planet_Sign,Mercury,Virgo,10201.898734177215,158,3.0700592288999786
Planet_Sign,Venus,Aquarius,9686.953488372093,129,-2.132446536714731
Planet_Sign,Venus,Aries,9882.584,125,-0.15598617910321158
Planet_Sign,Venus,Cancer,10182.488549618321,131,2.8739576085783747
Planet_Sign,Venus,Capricorn,9627.835616438357,219,-2.7297159980635057
Planet_Sign,Venus,Gemini,9949.921052631578,228,0.5243218874516167
Planet_Sign,Venus,Leo,10206.111111111111,225,3.112616987154979
