Feature,Coefficient,Abs_Coef
Vedic_Cos_Neptune_Mars,0.0,0.0
Vedic_Cos_Neptune_Jupiter,0.0,0.0
Vedic_Cos_Neptune_Saturn,0.0,0.0
Vedic_Cos_Neptune_Uranus,0.0,0.0
Vedic_Cos_Neptune_Neptune,0.0,0.0
Vedic_Cos_Neptune_Pluto,0.0,0.0
Vedic_Cos_Neptune_Node,0.0,0.0
Vedic_Cos_Neptune_Lilith,0.0,0.0
Vedic_Cos_Pluto_Sun,0.0,0.0
Vedic_Cos_Pluto_Moon,0.0,0.0
Vedic_Cos_Pluto_Mercury,0.0,0.0
Vedic_Cos_Pluto_Venus,0.0,0.0
Vedic_Cos_Pluto_Mars,0.0,0.0
Vedic_Cos_Pluto_Jupiter,0.0,0.0
Vedic_Cos_Pluto_Saturn,0.0,0.0
Vedic_Cos_Pluto_Uranus,0.0,0.0
Vedic_Cos_Pluto_Neptune,0.0,0.0
Vedic_Cos_Pluto_Pluto,0.0,0.0
Vedic_Cos_Pluto_Node,0.0,0.0
Vedic_Cos_Pluto_Lilith,0.0,0.0
Vedic_Cos_Node_Sun,0.0,0.0
Vedic_Cos_Node_Moon,0.0,0.0
Vedic_Cos_Node_Mercury,0.0,0.0
Vedic_Cos_Node_Venus,0.0,0.0
Vedic_Cos_Node_Mars,0.0,0.0
Vedic_Cos_Node_Jupiter,0.0,0.0
Vedic_Cos_Node_Saturn,0.0,0.0
Vedic_Cos_Node_Uranus,0.0,0.0
Vedic_Cos_Node_Neptune,0.0,0.0
Vedic_Cos_Node_Pluto,0.0,0.0
Vedic_Cos_Node_Node,0.0,0.0
Vedic_Cos_Node_Lilith,0.0,0.0
Vedic_Cos_Lilith_Sun,0.0,0.0
Vedic_Cos_Lilith_Moon,0.0,0.0
Vedic_Cos_Lilith_Mercury,0.0,0.0
Vedic_Cos_Lilith_Venus,0.0,0.0
Vedic_Cos_Lilith_Mars,0.0,0.0
Vedic_Cos_Lilith_Jupiter,0.0,0.0
Vedic_Cos_Lilith_Saturn,0.0,0.0
Vedic_Cos_Lilith_Uranus,0.0,0.0
Vedic_Cos_Lilith_Neptune,0.0,0.0
Vedic_Cos_Lilith_Pluto,0.0,0.0
Vedic_Cos_Lilith_Node,0.0,0.0
Vedic_Cos_Lilith_Lilith,0.0,0.0

