name,birth_date,event_year,event_type,age,prog_sun,prog_moon,natal_sun,natal_moon,sun_movement,moon_movement,mercury_movement,venus_movement,mars_movement,sun_sign_change,moon_sign_change,mercury_sign_change,venus_sign_change,mars_sign_change,hard_aspects,soft_aspects
Elvis Presley,1935-01-08,1954,career,19,306.3170921168831,208.85739640966253,286.9773731004239,328.3330199847388,19.339719016459185,240.5243764249237,31.284499278452472,23.81157114674346,6.75983088434225,True,True,True,True,False,12,4
Elvis Presley,1935-01-08,1956,career,21,308.3492787073651,234.65198108012646,286.9773731004239,328.3330199847388,21.371905606941198,266.31896109538764,34.12394354016129,26.31284842957706,7.3440097054501905,True,True,True,True,False,12,4
Elvis Presley,1935-01-08,1958,crisis,23,310.38077798583475,262.12706426053614,286.9773731004239,328.3330199847388,23.40340488541085,293.7940442757973,36.67308943516974,28.813096213603444,7.899373716160909,True,True,True,True,False,8,4
Elvis Presley,1935-01-08,1967,marriage,32,319.5082679063117,34.68717843127669,286.9773731004239,328.3330199847388,32.53089480588778,66.3541584465379,41.913760633098775,40.047292676312395,10.004010443185791,True,True,True,True,False,7,3
Elvis Presley,1935-01-08,1968,career,33,320.52049280797416,48.082281291946245,286.9773731004239,328.3330199847388,33.54311970755026,79.7492613072074,41.66372977911266,41.2934400166871,10.194800404532828,True,True,True,True,False,10,6
Elvis Presley,1935-01-08,1973,divorce,38,325.5748969624033,110.11026249612499,286.9773731004239,328.3330199847388,38.59752386197937,141.77724251138616,38.039942506903515,47.51672514434597,11.007608899596562,True,True,True,True,False,11,6
Elvis Presley,1935-01-08,1977,death,42,329.6102206347588,157.4132473904697,286.9773731004239,328.3330199847388,42.63284753433487,189.08022740573088,33.59062039653418,52.48567559733601,11.477668289055941,True,True,True,True,False,8,5
Michael Jackson,1958-08-29,1969,career,11,166.11601020758553,110.2852821700767,155.4591650805372,336.2432279829869,10.656845127048342,134.04205418708978,2.392997364654093,13.539500187690862,4.5565867072866695,False,True,False,False,False,9,4
Michael Jackson,1958-08-29,1982,career,24,178.7932575411666,295.44861458177184,155.4591650805372,336.2432279829869,23.33409246062942,319.2053865987849,22.102180829196556,29.63714408437002,8.550499909116873,False,True,True,True,True,6,4
Michael Jackson,1958-08-29,1984,crisis,26,180.75071878816374,320.73954001034423,155.4591650805372,336.2432279829869,25.291553707626548,344.4963120273573,25.755299447326053,32.12114448830016,9.006091935223239,True,True,True,True,True,8,4
Michael Jackson,1958-08-29,1993,crisis,35,189.58580019020675,68.34625591456795,155.4591650805372,336.2432279829869,34.126635109669564,92.10302793158104,42.11671081623561,43.321705665511104,10.4518622161592,True,True,True,True,True,5,1
Michael Jackson,1958-08-29,1994,marriage,36,190.5704843891722,80.49357220266673,155.4591650805372,336.2432279829869,35.11131930863502,104.25034421967979,43.88820589818735,44.56847966688221,10.547014930283694,True,True,True,True,True,4,4
Michael Jackson,1958-08-29,1996,divorce,38,192.54177905916916,105.61660788603761,155.4591650805372,336.2432279829869,37.08261397863197,129.3733799030507,47.39348726501359,47.06331718830572,10.695385973024408,True,True,True,True,True,3,3
Michael Jackson,1958-08-29,2009,death,51,205.41430665883038,292.0926883103099,155.4591650805372,336.2432279829869,49.955141578293194,315.84946032732296,68.96345109901054,63.31411373047544,10.224084729367526,True,True,True,True,True,6,6
John Lennon,1940-10-09,1957,career,17,213.19329328531458,155.55096427370617,196.30907917042737,304.06836853332015,16.884214114887214,211.48259574038602,17.799855838590446,19.681435113526817,11.003740851740076,True,True,False,False,False,5,3
John Lennon,1940-10-09,1962,career,22,218.19213234534348,230.16841208197792,196.30907917042737,304.06836853332015,21.883053174916114,286.10004354865777,19.500577851545785,25.602271037266945,14.257053257925463,True,True,False,False,False,9,4
John Lennon,1940-10-09,1968,marriage,28,224.20742499671488,312.9470468796177,196.30907917042737,304.06836853332015,27.89834582628751,8.878678346297534,17.007740065180855,32.76850887418303,18.17070638751173,True,False,False,True,False,9,2
John Lennon,1940-10-09,1970,crisis,30,226.21588198715358,337.4008511848384,196.30907917042737,304.06836853332015,29.906802816726213,33.33248265151826,14.942582810063755,35.17048876228995,19.477441790506106,True,True,False,True,False,7,3
John Lennon,1940-10-09,1975,child,35,231.24425917066534,36.595396200076976,196.30907917042737,304.06836853332015,34.93518000023798,92.5270276667568,8.4873941310492,41.20216530559841,22.749487451121524,True,True,False,True,False,8,1
John Lennon,1940-10-09,1980,death,40,236.2836908449796,98.29223843665109,196.30907917042737,304.06836853332015,39.97461167455222,154.22386990333092,3.9799815975168826,47.26956336349221,26.029859038537353,True,True,False,True,False,7,5
Paul McCartney,1942-06-18,1957,career,15,100.99314527551788,349.4869183539598,86.68853579740173,138.45414552420638,14.304609478116149,211.03277282975344,1.8599625969984714,17.554688295275035,9.295060587891626,True,True,False,True,False,7,3
Paul McCartney,1942-06-18,1962,career,20,105.76042733000898,51.965929780855255,86.68853579740173,138.45414552420638,19.071891532607253,273.51178425664887,6.37036275942053,23.457466956904334,12.403597545761286,True,True,False,True,False,9,3
Paul McCartney,1942-06-18,1969,marriage,27,112.43855131998774,135.5873524045011,86.68853579740173,138.45414552420638,25.75001552258601,357.1332068802947,15.729160579454273,31.76062106972983,16.766632146252007,True,False,True,True,False,8,4
