planet,star,orb,cosine,name,category
Rahu,Antares,0.3194258703606181,0.9999844595429179,Jackie Robinson,cardiac
Ketu,Aldebaran,0.26942587036062093,0.9999889438854872,Jackie Robinson,cardiac
Saturn,Vega,1.8685478045190962,0.9994682657021736,Mickey Mantle,cancer
Mars,Antares,0.40918401599671483,0.9999744988236471,Joe DiMaggio,cancer
Ketu,Regulus,1.1799638581147462,0.9997879458382124,Joe DiMaggio,cancer
Moon,Betelgeuse,1.3956881982605438,0.999703325597274,Ted Williams,cardiac
Uranus,Deneb Algedi,1.774919273611431,0.9995202143889435,Ted Williams,cardiac
Ketu,Rigel,1.4243089346684172,0.9996910339420666,Ted Williams,cardiac
Saturn,Deneb Algedi,1.2855766226074934,0.9997482888509852,Roberto Clemente,accident
Sun,Rigel,0.9340602182260227,0.9998671183926963,Thurman Munson,accident
Sun,Regulus,0.17215883625263473,0.9999954857765825,Kobe Bryant,accident
Venus,Rigel,0.18713112039168323,0.9999946664497754,Dale Earnhardt,accident
Saturn,Vega,1.8519412749365642,0.9994776743530218,Ayrton Senna,accident
Saturn,Fomalhaut,0.7325427119574783,0.9999182693924235,Brandon Lee,accident
Moon,Antares,0.17368123853051998,0.999995405584993,Jim Fixx,cardiac
Venus,Rigel,1.8227971532960652,0.9994939833667594,Jim Fixx,cardiac
Mercury,Antares,0.05417127295515911,0.9999995530460402,Florence Griffith Joyner,cardiac
Uranus,Vega,0.33388961478561896,0.9999830203265916,Jose Fernandez,accident
Neptune,Vega,1.5462452983069852,0.9996358710864126,Jose Fernandez,accident
Ketu,Betelgeuse,0.19559429854842847,0.9999941731116014,Jose Fernandez,accident
Mars,Betelgeuse,1.629353387513902,0.9995956792339874,Coco Chanel,cardiac
Saturn,Aldebaran,0.7108519742348278,0.999923037792408,Coco Chanel,cardiac
Sun,Altair,1.414014944037831,0.9996954835941045,Christian Dior,cardiac
Sun,Antares,0.06486612445058881,0.999999359143793,Gianni Versace,homicide
Rahu,Aldebaran,1.8779935071107872,0.999462876652877,Gianni Versace,homicide
Ketu,Antares,1.9279935071107843,0.9994338977338338,Gianni Versace,homicide
Venus,Algol,0.6384655243317745,0.9999379137901915,Alexander McQueen,suicide
Mars,Antares,1.4463743197911754,0.9996813873014704,Alexander McQueen,suicide
Saturn,Algol,1.5919449885438794,0.9996140305665746,Alexander McQueen,suicide
Venus,Spica,0.08674266888650095,0.9999988539852239,Karl Lagerfeld,cancer
Uranus,Algol,0.6658389231904884,0.9999324759923419,Karl Lagerfeld,cancer
Pluto,Sirius,0.05886882018475603,0.9999994721684261,Hubert de Givenchy,natural
Venus,Betelgeuse,0.215699307771402,0.9999929136641851,Oscar de la Renta,cancer
Saturn,Altair,0.19616625100496776,0.9999941389840976,Oscar de la Renta,cancer
Moon,Deneb Algedi,1.7707049413255618,0.9995224898893657,Gia Carangi,disease
Jupiter,Vega,0.18458773095557035,0.9999948104461067,Johnny Carson,disease
Pluto,Sirius,0.6536560633427797,0.999934924334631,Johnny Carson,disease
Ketu,Altair,1.7872182054652512,0.9995135427449368,Johnny Carson,disease
Venus,Altair,1.4797805397807338,0.9996665004732322,Ed McMahon,disease
Sun,Antares,1.9672751366504144,0.9994105970857625,Dick Clark,cardiac
Mercury,Antares,0.34062809155091145,0.9999823280537071,Dick Clark,cardiac
Mars,Antares,1.1656699486326545,0.9997930521302537,Dick Clark,cardiac
Jupiter,Aldebaran,1.9649845030817374,0.9994119687168161,Dick Clark,cardiac
Pluto,Rigel,1.8490344211294172,0.9994793126350165,Ed Sullivan,cancer
Sun,Sirius,0.49947435305027454,0.9999620030816819,Merv Griffin,cancer
Pluto,Sirius,0.9986375452991183,0.9998481098800713,Merv Griffin,cancer
Jupiter,Rigel,1.5165506727804114,0.9996497216978131,Mike Wallace,natural
Moon,Fomalhaut,0.7413423237641155,0.9999162940613852,Walter Cronkite,disease
Mars,Antares,0.08036147979709085,0.9999990163954726,Walter Cronkite,disease
Jupiter,Fomalhaut,0.23850633622998885,0.9999913358900566,Tim Russert,cardiac
Moon,Betelgeuse,0.7092730232071887,0.9999233793066777,Andy Rooney,disease
Rahu,Antares,1.2195272562106823,0.9997734879212712,Andy Rooney,disease
Ketu,Aldebaran,1.169527256210685,0.999791680293252,Andy Rooney,disease
Mercury,Spica,0.4814003940754503,0.9999647032216668,Barbara Walters,natural
Venus,Regulus,0.3027322733183837,0.999986041422136,Barbara Walters,natural
Mars,Spica,1.3872922753206467,0.9997068840454817,Barbara Walters,natural
Jupiter,Rigel,0.5961525257369544,0.9999458703027577,Barbara Walters,natural
Venus,Vega,1.6466012498049167,0.999587074474515,Larry King,disease
Uranus,Algol,1.9421246392397116,0.9994255696832481,Larry King,disease
Rahu,Deneb Algedi,0.2983297060064274,0.9999864444620058,Larry King,disease
Sun,Regulus,1.4889550451245839,0.9996623525536049,Regis Philbin,cardiac
Moon,Altair,0.03229722579163763,0.999999841125145,Regis Philbin,cardiac
Saturn,Vega,1.7916785468523813,0.9995111118208134,Regis Philbin,cardiac
Moon,Fomalhaut,1.216130842200016,0.999774747800705,Alex Trebek,cancer
Venus,Betelgeuse,1.6696257688464016,0.999575446637514,Alex Trebek,cancer
Sun,Regulus,1.8880862934256015,0.9994570884046058,Monty Hall,cardiac
Jupiter,Aldebaran,1.6509639812882142,0.999584883604168,Allen Ludden,cancer
Mars,Altair,0.8136661388118114,0.9998991653194798,Gary Moore,cardiac
Pluto,Betelgeuse,1.7353059791648633,0.9995413898442457,Gary Moore,cardiac
Mars,Regulus,0.4087657018394282,0.9999745509371446,Art Linkletter,natural
Uranus,Altair,0.006588177042431198,0.9999999933891811,Art Linkletter,natural
Pluto,Betelgeuse,0.38345678753277923,0.9999776047467629,Art Linkletter,natural
Venus,Deneb Algedi,0.8995065679049503,0.9998767677162292,Joey Bishop,natural
Uranus,Deneb Algedi,0.38900170141067747,0.9999769523806318,Joey Bishop,natural
Ketu,Betelgeuse,0.5188517384494844,0.9999589976900712,Joey Bishop,natural
Sun,Regulus,0.10717704476206791,0.9999982504427082,River Phoenix,overdose
Rahu,Fomalhaut,0.999684377320591,0.999847791280506,River Phoenix,overdose
Saturn,Regulus,0.15978946557942209,0.9999961111539886,Brittany Murphy,disease
Jupiter,Altair,0.9289394945200797,0.9998685713395843,Paul Walker,accident
Uranus,Regulus,1.852292440366739,0.9994774762645334,James Gandolfini,cardiac
Rahu,Fomalhaut,0.23815439269992567,0.9999913614409357,Anton Yelchin,accident
Mars,Regulus,0.601042068341286,0.9999449787443075,Luke Perry,cardiac
Mercury,Aldebaran,0.28082499503575775,0.9999879885513259,Cameron Boyce,disease
Mars,Spica,0.9211412602693372,0.9998707686571827,Cameron Boyce,disease
Jupiter,Algol,1.898485717830809,0.9994510918578583,Cameron Boyce,disease
Pluto,Antares,0.580609045523687,0.9999486561278585,Cameron Boyce,disease
Moon,Regulus,0.6270909513737308,0.999940106254546,DMX,overdose
Mercury,Vega,1.4057290761846275,0.9996990417797043,DMX,overdose
Moon,Regulus,0.3654267108321676,0.9999796612693393,Bob Saget,accident
Mercury,Aldebaran,1.302820873551127,0.999741491133494,Bob Saget,accident
Rahu,Antares,0.9655092793572067,0.9998580199363503,Bob Saget,accident
Ketu,Aldebaran,1.0155092793572322,0.9998429343692266,Bob Saget,accident
Saturn,Regulus,1.0227699198572964,0.9998406804391218,Olivia Newton-John,cancer
Uranus,Betelgeuse,1.7871831245133762,0.999513561840347,Olivia Newton-John,cancer
Mercury,Aldebaran,0.11133823755085359,0.9999981119508862,Anne Heche,accident
Ketu,Betelgeuse,0.3990580881134065,0.9999757453384452,Leslie Jordan,cardiac
Mars,Deneb Algedi,1.4429444825780706,0.9996828965045866,Kirstie Alley,cancer
Mercury,Sirius,1.5317540240382357,0.9996426638673609,Christine McVie,cardiac
Saturn,Betelgeuse,1.7933464705463962,0.9995102012321051,Jeff Beck,disease
Uranus,Aldebaran,0.5397023007790125,0.9999556360642862,Jeff Beck,disease
Ketu,Spica,1.5045328303832832,0.9996552509151543,Lisa Marie Presley,cardiac
Sun,Rigel,0.5746793619099151,0.9999496995001984,Lance Reddick,cardiac
Mercury,Rigel,0.804694839221952,0.9999013765858443,Lance Reddick,cardiac
Pluto,Sirius,0.15863382026634554,0.9999961672011423,Harry Belafonte,cardiac
Mercury,Antares,1.7798125343728088,0.999517565521143,Tina Turner,disease
Mars,Fomalhaut,0.77024775838305,0.9999096394043573,Tina Turner,disease
Saturn,Algol,0.893932415331701,0.9998782902693962,Tina Turner,disease
Ketu,Algol,1.2428538892614398,0.9997647401252401,Tina Turner,disease
Venus,Sirius,1.8377496234230364,0.9994856482866482,Tony Bennett,disease
Jupiter,Deneb Algedi,0.271800802159305,0.9999887481121885,Tony Bennett,disease
Pluto,Sirius,0.8600086661587625,0.9998873523228494,Tony Bennett,disease
Rahu,Sirius,0.8636136431610026,0.999886405970274,Tony Bennett,disease
Ketu,Vega,0.5063863568389593,0.9999609441669896,Tony Bennett,disease
Rahu,Aldebaran,0.6604089771760471,0.9999335728120989,Jimmy Buffett,cancer
Ketu,Antares,0.7104089771760584,0.9999231336857096,Jimmy Buffett,cancer
Sun,Spica,1.3119060558023534,0.9997378733128224,Suzanne Somers,cancer
Moon,Deneb Algedi,0.32339906439483457,0.9999840705381263,Ryan ONeal,cardiac
Mercury,Rigel,0.739127137803834,0.9999167935462137,Andre Braugher,cancer
Uranus,Aldebaran,1.111192513684145,0.9998119428973951,David Soul,cancer
Pluto,Sirius,1.710388096831153,0.9995544650079583,Glynis Johns,natural
Sun,Altair,1.2780816076851238,0.999751215166431,Chita Rivera,natural
Mercury,Altair,1.6468441502617566,0.9995869526474596,Carl Weathers,cardiac
Sun,Sirius,1.9884725948006405,0.9993978282631795,Toby Keith,cancer
Rahu,Regulus,0.46934781028451766,0.9999664485029424,Toby Keith,cancer
Moon,Regulus,0.7458181117031586,0.9999152802903637,Louis Gossett Jr,disease
Mars,Aldebaran,0.05567194229519146,0.9999995279397283,Louis Gossett Jr,disease
Moon,Betelgeuse,0.3257638395119642,0.9999838367265781,Dickey Betts,cancer
Mars,Aldebaran,0.43893667240685375,0.9999706555246394,Dickey Betts,cancer
Pluto,Sirius,1.4788388150320486,0.9996669247893857,Roger Corman,natural
Ketu,Regulus,0.9844636973583363,0.9998523907863129,Morgan Spurlock,cancer
Mars,Spica,0.16507048705116745,0.9999958498546757,Donald Sutherland,disease
Jupiter,Sirius,1.599739630244244,0.9996102419146015,Willie Mays,cardiac
Mars,Aldebaran,0.059234485347744226,0.999999465590783,Bill Cobbs,natural
Jupiter,Rigel,1.866788677299283,0.9994692663351339,Bob Newhart,natural
Neptune,Regulus,1.7178443257381844,0.9995505723213272,Bob Newhart,natural
Mercury,Betelgeuse,1.608485731108658,0.9996059687723463,Richard Simmons,cardiac
Uranus,Betelgeuse,0.9822090323245618,0.9998530661186482,Richard Simmons,cardiac
Sun,Sirius,0.9388140925451012,0.9998657623863167,Shelley Duvall,disease
Moon,Antares,0.37909575939866613,0.9999781112476361,Shelley Duvall,disease
Rahu,Deneb Algedi,0.23113156171331184,0.9999918634057756,John Mayall,natural
Jupiter,Antares,0.38105361661123993,0.9999778845737382,Phil Donahue,natural
Saturn,Fomalhaut,1.2465996710027412,0.9997633199658982,Phil Donahue,natural
Rahu,Vega,1.970360883416447,0.9994087468157056,Phil Donahue,natural
Ketu,Sirius,0.6003608834164567,0.9999451033880574,Phil Donahue,natural
Saturn,Fomalhaut,0.3622838935970094,0.9999800096063739,Alain Delon,disease
Rahu,Vega,0.30625791639107547,0.9999857144043792,Alain Delon,disease
Ketu,Sirius,1.6762579163910658,0.9995720673274087,Alain Delon,disease
Venus,Antares,0.604388338448274,0.9999443643886446,James Earl Jones,natural
Jupiter,Sirius,0.00835417241904679,0.9999999893700405,James Earl Jones,natural
Saturn,Vega,0.17252179134754897,0.9999954667222448,James Earl Jones,natural
Rahu,Aldebaran,1.6661289236929804,0.9995772230094717,Frankie Beverly,natural
Ketu,Antares,1.7161289236929917,0.999551469383549,Frankie Beverly,natural
Mercury,Aldebaran,0.6939411459840414,0.9999266559802525,Kris Kristofferson,natural
Venus,Betelgeuse,0.21242870893243548,0.9999931269316744,Kris Kristofferson,natural
Mars,Betelgeuse,1.0519351709055371,0.9998314648500861,Kris Kristofferson,natural
Venus,Altair,0.9385898097041832,0.9998658265159971,John Amos,cardiac
Saturn,Algol,1.753916259971298,0.9995315011446494,John Amos,cardiac
Rahu,Spica,1.9640559703221072,0.9994125242671016,John Amos,cardiac
Ketu,Algol,0.375944029677882,0.999978473691209,John Amos,cardiac
Venus,Vega,0.6815086632011571,0.9999292604356486,Maggie Smith,natural
Saturn,Deneb Algedi,1.1709751546636085,0.9997911641838864,Maggie Smith,natural
Uranus,Algol,1.3583977522183588,0.9997189663621946,Maggie Smith,natural
Rahu,Altair,0.6351757442525354,0.9999385519504967,Maggie Smith,natural
Mars,Regulus,0.2630573554719149,0.9999894603818602,Jerry Garcia,cardiac
Saturn,Aldebaran,0.14250484694220233,0.9999969069724547,Jerry Garcia,cardiac
Ketu,Fomalhaut,1.7199360197222404,0.9995494772665006,Jerry Garcia,cardiac
Moon,Antares,0.14340305891965954,0.9999968678587191,Rory Gallagher,disease
Mercury,Deneb Algedi,1.8533595087267827,0.9994768741128395,Rory Gallagher,disease
Ketu,Regulus,1.374831779668142,0.9997121256129617,Gary Moore,cardiac
Jupiter,Fomalhaut,0.5736861374157911,0.9999498732182813,Danny Kirwan,disease
Uranus,Rigel,0.4012753389524448,0.9999754750627502,Bob Welch,suicide
Mars,Regulus,1.1723460895767062,0.9997906749200267,Gary Thain,overdose
Mars,Altair,1.3505637657443117,0.9997221983516867,David Byron,disease
Uranus,Rigel,1.2197768708740568,0.9997733951896217,David Byron,disease
Rahu,Aldebaran,1.192685562273894,0.999783348858667,David Byron,disease
Ketu,Antares,1.142685562273897,0.9998011324951476,David Byron,disease
Sun,Regulus,1.1103791210711336,0.9998122181035102,Ken Hensley,natural
Uranus,Rigel,0.24615400685351574,0.9999907713560544,Ken Hensley,natural
Sun,Rigel,1.4107709635558052,0.9996968791412881,Jon Lord,cancer
Mercury,Antares,0.6071077098328601,0.9999438626157768,Lemmy Kilmister,cancer
Jupiter,Spica,0.03177035064697975,0.9999998462664186,Lemmy Kilmister,cancer
Rahu,Betelgeuse,1.1212277204840149,0.9998085309718604,Lemmy Kilmister,cancer
Mercury,Betelgeuse,1.8302625132323982,0.9994898303977122,Ronnie James Dio,cancer
Mercury,Vega,0.8845842864318456,0.9998808224223943,Jeff Hanneman,disease
Saturn,Deneb Algedi,0.28278083255230513,0.9999878206588491,Jeff Hanneman,disease
Saturn,Sirius,0.4778314435512101,0.9999652246369778,Joey Jordison,disease
Neptune,Antares,1.5403911255479272,0.9996386229267504,Joey Jordison,disease
Mars,Antares,0.00030939561199261334,0.9999999999854201,Neil Peart,cancer
Uranus,Aldebaran,1.9426298227917584,0.9994252708325149,Rick Wright,cancer
Sun,Vega,0.13317296939743528,0.9999972988001876,Syd Barrett,cancer
Jupiter,Spica,1.5906010734568383,0.9996146819180997,Syd Barrett,cancer
Rahu,Betelgeuse,0.43298015404900525,0.9999714465457831,Syd Barrett,cancer
Moon,Spica,1.9200034313872436,0.9994385797049382,Ginger Baker,disease
Uranus,Aldebaran,0.6106922411389064,0.9999431977639069,Alvin Lee,cardiac
Venus,Algol,0.7166485861511447,0.9999217775211859,Gary Brooker,cancer
Jupiter,Sirius,1.2670164737189538,0.9997555041090161,Keith Relf,accident
Ketu,Deneb Algedi,0.27953925215126674,0.9999880982869294,Keith Relf,accident
Moon,Spica,1.3420234225599472,0.9997257004624065,Paul Kossoff,cardiac
Venus,Sirius,0.24220129307595073,0.9999910653610418,Andy Fraser,disease
Uranus,Sirius,0.04460836745349184,0.9999996969199316,Andy Fraser,disease
Rahu,Deneb Algedi,0.15975324311398253,0.9999961129169024,Andy Fraser,disease
Venus,Algol,0.5501520193022635,0.9999539014966703,Lowell George,cardiac
Uranus,Aldebaran,0.6074072032775746,0.9999438072161574,Lowell George,cardiac
Rahu,Sirius,0.7058212563951685,0.9999241232511572,Lowell George,cardiac
Sun,Deneb Algedi,1.427778768169901,0.9996895268096477,Tim Buckley,overdose
Uranus,Rigel,0.9636178038920207,0.9998585756688249,Tim Buckley,overdose
Ketu,Antares,1.9898783098367687,0.9993969766588329,Tim Buckley,overdose
Sun,Betelgeuse,0.664609599339272,0.9999327250955758,Nick Drake,overdose
Sun,Vega,0.11484465757359885,0.9999979911561099,Sandy Denny,accident
Mars,Vega,0.16421710506699583,0.9999958926545979,Sandy Denny,accident
Uranus,Rigel,1.9144900275311159,0.9994417990794026,Sandy Denny,accident
Rahu,Aldebaran,0.02511238704067864,0.9999999039492579,Sandy Denny,accident
Ketu,Antares,0.07511238704066159,0.9999991406940774,Sandy Denny,accident
Jupiter,Sirius,1.8864076357988324,0.9994580532707416,Richard Manuel,suicide
Saturn,Aldebaran,1.4742238533383016,0.9996690002640318,Richard Manuel,suicide
Ketu,Deneb Algedi,0.9151232362672772,0.9998724517005456,Richard Manuel,suicide
