Mode,Within_Mean,Between_Mean,p_value,Conclusion
tropical,0.10153256704980843,0.09201577017960483,0.060701101299287595,NOT Significant
vedic,0.11233019853709508,0.0919466027251977,8.620498372911991e-05,SIGNIFICANT
