date,sum_p,count_p,sum_t,count_t,avg_prcp,avg_tmax
1900-01-01,45792.0,2929.0,-31614.0,2255.0,15.634004779788324,-14.019512195121951
1900-01-02,45862.0,2947.0,10960.0,2269.0,15.562266711910418,4.830321727633319
1900-01-03,43521.0,2942.0,55009.0,2277.0,14.79299796057104,24.158541941150638
1900-01-04,24109.0,2935.0,109557.0,2280.0,8.214310051107326,48.05131578947368
1900-01-05,45125.0,2943.0,151768.0,2273.0,15.332993544002719,66.76990761108667
1900-01-06,28763.0,2946.0,184575.0,2284.0,9.763408010862186,80.81217162872154
1900-01-07,36743.0,2963.0,203714.0,2270.0,12.400607492406344,89.74185022026431
1900-01-08,45435.0,2940.0,183108.0,2286.0,15.454081632653061,80.0997375328084
1900-01-09,81156.0,2947.0,151704.0,2284.0,27.538513742789277,66.42031523642731
1900-01-10,115758.0,2975.0,151921.0,2289.0,38.91025210084034,66.37003058103976
1900-01-11,204175.0,2960.0,128472.0,2288.0,68.97804054054055,56.15034965034965
1900-01-12,127202.0,2967.0,140820.0,2291.0,42.87226154364678,61.466608467917936
1900-01-13,37765.0,2948.0,157635.0,2285.0,12.810379918588874,68.98687089715536
1900-01-14,34252.0,2936.0,176213.0,2266.0,11.666212534059946,77.7639011473963
1900-01-15,34650.0,2951.0,185565.0,2283.0,11.741782446628262,81.28120893561103
1900-01-16,52182.0,2960.0,184790.0,2295.0,17.629054054054055,80.51851851851852
1900-01-17,70909.0,2948.0,175189.0,2296.0,24.05325644504749,76.30182926829268
1900-01-18,66022.0,2975.0,175250.0,2291.0,22.192268907563026,76.4949803579223
1900-01-19,83587.0,2970.0,206630.0,2293.0,28.143771043771043,90.11338857392063
1900-01-20,128030.0,2961.0,207721.0,2292.0,43.2387706855792,90.62870855148343
1900-01-21,52990.0,2948.0,198603.0,2286.0,17.974898236092265,86.87795275590551
1900-01-22,29155.0,2922.0,237722.0,2294.0,9.977754962354553,103.62772449869225
1900-01-23,26931.0,2923.0,238176.0,2289.0,9.213479302086897,104.05242463958061
1900-01-24,23751.0,2919.0,201433.0,2294.0,8.136690647482014,87.80863121185702
1900-01-25,39874.0,2946.0,133930.0,2293.0,13.534962661235573,58.40819886611426
1900-01-26,29937.0,2944.0,53526.0,2298.0,10.16881793478261,23.29242819843342
1900-01-27,18803.0,2922.0,38323.0,2296.0,6.434976043805612,16.691202090592334
1900-01-28,31997.0,2926.0,18425.0,2287.0,10.935406698564593,8.056405771753388
1900-01-29,55099.0,2941.0,24869.0,2297.0,18.734784087045224,10.826730518067045
1900-01-30,26378.0,2928.0,9704.0,2292.0,9.008879781420765,4.233856893542757
1900-01-31,21055.0,2920.0,-29172.0,2263.0,7.210616438356165,-12.89085285019885
1900-02-01,11014.0,2957.0,-14077.0,2318.0,3.724721001014542,-6.07290767903365
1900-02-02,18716.0,2963.0,42052.0,2321.0,6.316571042861964,18.118052563550194
1900-02-03,36333.0,2974.0,111522.0,2313.0,12.216879623402825,48.215304798962386
1900-02-04,152376.0,3006.0,130138.0,2304.0,50.69061876247505,56.48350694444444
1900-02-05,95616.0,2991.0,125119.0,2314.0,31.9679037111334,54.0704407951599
1900-02-06,44473.0,2988.0,161377.0,2316.0,14.883868808567604,69.67918825561313
1900-02-07,91375.0,2991.0,169342.0,2313.0,30.549983283182883,73.21314310419369
1900-02-08,192479.0,3022.0,157782.0,2327.0,63.692587690271345,67.80489901160293
1900-02-09,70085.0,2993.0,98888.0,2323.0,23.416304710992314,42.56909169177787
1900-02-10,58683.0,2970.0,114262.0,2328.0,19.75858585858586,49.08161512027491
1900-02-11,60690.0,2967.0,170304.0,2317.0,20.45500505561173,73.50194216659473
1900-02-12,149515.0,2997.0,149331.0,2324.0,49.88822155488822,64.25602409638554
1900-02-13,220869.0,3004.0,125347.0,2326.0,73.52496671105193,53.88950988822012
1900-02-14,38999.0,2970.0,48486.0,2323.0,13.130976430976432,20.872148084373656
