month,temp_anomaly,sun_deg_tropical,mars_deg_tropical,moon_deg_tropical,sun_mars_angle_tropical,lunar_day_tropical,sun_deg_vedic_lahiri,mars_deg_vedic_lahiri,moon_deg_vedic_lahiri,sun_mars_angle_vedic_lahiri,lunar_day_vedic_lahiri
1970-07,0.18,112.58197108556598,118.20852649565138,247.22503033678592,5.626555410085402,12,89.13429249598255,94.76084790606795,223.7773517472025,5.626555410085402,12
1971-07,-0.04,112.35398779245585,321.8416727305662,25.777991571960133,150.51231506188967,23,88.89102821721015,298.3787131553205,2.3150319967144313,150.51231506188964,23
1972-07,-0.17,113.07987649191168,130.6532207898326,171.26630054170866,17.573344297920926,5,89.60187257248542,107.17521687040635,147.7882966222824,17.573344297920926,5
1973-07,0.32,112.84727041450904,15.403384132147158,292.87858621912903,97.44388628236189,16,89.3548103074789,351.910924025117,269.38612611209885,97.44388628236186,16
1974-07,-0.07,112.62089586204425,142.4618045612985,57.741719792892,29.840908699254243,26,89.11463794916422,118.95554664841846,34.23546188001197,29.840908699254243,26
1975-07,0.06,112.39275826825804,40.0563151229389,198.16058780877768,72.33644314531914,8,88.87307711424548,16.536633968926342,174.6409066547651,72.33644314531914,8
1976-07,-0.02,113.10885215348681,155.1710379235569,341.25841300026264,42.06218577007009,20,89.57615564071301,131.6383414107831,317.72571648748885,42.0621857700701,20
1977-07,0.24,112.87734198483932,58.5087308253913,103.1858939489177,54.36861115944802,30,89.33212943647351,34.96351827702548,79.6406814005519,54.36861115944803,30
1978-07,0.12,112.64544136260145,167.9453636529449,228.3053260125168,55.29992229034346,10,89.08797794892803,144.38790023927146,204.7478625988433,55.29992229034343,10
1979-07,0.16,112.41134070087048,73.65693204455927,10.040996431368514,38.75440865631121,22,88.8414668528596,50.087058196548384,346.4711225833576,38.75440865631121,22
1980-07,0.36,113.13225347848737,182.67204237423127,150.92835828892265,69.5397888957439,4,89.54975122115763,159.08954011690153,127.34585603159294,69.5397888957439,4
1981-07,0.51,112.89789651411606,88.05544521977379,273.41342543111216,24.84245129434227,14,89.30257049565579,64.46011920131353,249.81809941265192,24.842451294342254,14
1982-07,0.1,112.67068637705954,199.78858966959936,39.80161856326989,87.11790329253982,24,89.06206050005368,176.1799637925935,16.19299268626404,87.11790329253982,24
1983-07,0.5,112.44366299259904,100.8596823592568,181.67078315734875,11.58398063334225,6,88.82102436997846,77.2370437366362,158.04814453472815,11.583980633342264,6
1984-07,0.31,113.1630793658602,225.80271108595093,320.7957275774217,112.63963172009073,18,89.5259157560876,202.1655474761783,297.1585639676491,112.63963172009069,18
1985-07,0.27,112.93504515964135,113.73088060369928,83.25188219425684,0.7958354440579285,28,89.28308513860559,90.07892058266351,59.59992217322108,0.7958354440579285,28
1986-07,0.28,112.70926051301856,286.1475738102934,211.17417711773328,173.43831329727485,9,89.04209761095004,262.48041090822494,187.5070142156647,173.4383132972749,9
1987-07,0.35,112.4808007695785,125.6146180539476,353.03891296244245,13.133817284369101,21,88.79803910534572,101.93185638971481,329.35615129820974,13.133817284369087,21
1988-07,0.55,113.20529441989405,0.7601922165490624,130.99249547555922,112.44510220334499,2,89.50693695751615,337.0618347541712,107.29413801318132,112.44510220334496,2
1989-07,0.11,112.97360371365082,138.02811922015044,253.3234110388881,25.054515506499627,12,89.25996059348489,114.31447609998452,229.60976791872218,25.054515506499627,12
1990-07,0.39,112.74616168653665,31.942103790765078,23.25692248489941,80.80405789577158,23,89.0174025982909,8.213344702519318,359.52816339665367,80.80405789577158,23
1991-07,0.41,112.51728481227377,149.98455153184116,163.56682608135046,37.46726671956739,5,88.77365634941943,126.24092306898683,139.8231976184961,37.467266719567405,5
1992-07,0.44,113.235973748255,52.1999478138294,300.9708206682581,61.03602593442561,16,89.47804453867089,28.442018604245288,277.212891458674,61.036025934425595,16
1993-07,0.34,113.00479387448851,163.05601445950504,63.11782015825843,50.05122058501652,26,89.23327543222139,139.28449601723793,39.34630171599131,50.05122058501654,26
