date,sum_p,count_p,sum_t,count_t,avg_prcp,avg_tmax
1900-01-01,2550.0,352.0,14491.0,41.0,7.244318181818182,353.4390243902439
1900-01-02,1506.0,352.0,14021.0,40.0,4.278409090909091,350.525
1900-01-03,4355.0,352.0,14154.0,41.0,12.372159090909092,345.219512195122
1900-01-04,5002.0,352.0,13279.0,40.0,14.210227272727273,331.975
1900-01-05,6393.0,352.0,12734.0,40.0,18.161931818181817,318.35
1900-01-06,7125.0,351.0,12874.0,41.0,20.299145299145298,314.0
1900-01-07,10292.0,350.0,11822.0,38.0,29.405714285714286,311.10526315789474
1900-01-08,18107.0,351.0,11491.0,38.0,51.58689458689459,302.39473684210526
1900-01-09,21781.0,352.0,12442.0,40.0,61.87784090909091,311.05
1900-01-10,19489.0,352.0,12449.0,40.0,55.36647727272727,311.225
1900-01-11,22268.0,352.0,10922.0,38.0,63.26136363636363,287.42105263157896
1900-01-12,9738.0,352.0,11158.0,39.0,27.664772727272727,286.1025641025641
1900-01-13,7685.0,352.0,11639.0,39.0,21.832386363636363,298.43589743589746
1900-01-14,7369.0,352.0,11252.0,37.0,20.93465909090909,304.1081081081081
1900-01-15,4201.0,352.0,11380.0,37.0,11.934659090909092,307.56756756756755
1900-01-16,4035.0,352.0,13452.0,40.0,11.463068181818182,336.3
1900-01-17,5393.0,353.0,13541.0,40.0,15.277620396600566,338.525
1900-01-18,5642.0,352.0,13128.0,40.0,16.02840909090909,328.2
1900-01-19,9285.0,352.0,12704.0,40.0,26.37784090909091,317.6
1900-01-20,20968.0,351.0,12461.0,40.0,59.73789173789174,311.525
1900-01-21,16412.0,350.0,10924.0,37.0,46.89142857142857,295.2432432432432
1900-01-22,12999.0,351.0,10824.0,37.0,37.034188034188034,292.5405405405405
1900-01-23,12539.0,353.0,11361.0,39.0,35.521246458923514,291.3076923076923
1900-01-24,11565.0,353.0,11702.0,39.0,32.76203966005666,300.05128205128204
1900-01-25,6306.0,353.0,12392.0,40.0,17.864022662889518,309.8
1900-01-26,3189.0,353.0,13355.0,40.0,9.03399433427762,333.875
1900-01-27,2178.0,353.0,13711.0,41.0,6.169971671388102,334.4146341463415
1900-01-28,2113.0,349.0,13016.0,37.0,6.054441260744985,351.7837837837838
1900-01-29,3396.0,348.0,12837.0,38.0,9.758620689655173,337.8157894736842
1900-01-30,4843.0,352.0,13026.0,41.0,13.758522727272727,317.7073170731707
1900-01-31,2141.0,353.0,13211.0,41.0,6.065155807365439,322.219512195122
1900-02-01,691.0,366.0,13423.0,41.0,1.8879781420765027,327.390243902439
1900-02-02,1340.0,366.0,13490.0,41.0,3.66120218579235,329.0243902439024
1900-02-03,2206.0,365.0,13411.0,40.0,6.043835616438356,335.275
1900-02-04,1188.0,365.0,13538.0,39.0,3.254794520547945,347.12820512820514
1900-02-05,3084.0,365.0,13233.0,39.0,8.449315068493151,339.3076923076923
1900-02-06,1165.0,366.0,14459.0,41.0,3.1830601092896176,352.6585365853659
1900-02-07,1594.0,366.0,14425.0,41.0,4.355191256830601,351.8292682926829
1900-02-08,549.0,366.0,14044.0,41.0,1.5,342.5365853658537
1900-02-09,755.0,366.0,13690.0,41.0,2.0628415300546448,333.9024390243902
1900-02-10,730.0,366.0,13816.0,41.0,1.994535519125683,336.9756097560976
1900-02-11,1061.0,365.0,13076.0,39.0,2.9068493150684933,335.28205128205127
1900-02-12,1175.0,365.0,12977.0,39.0,3.219178082191781,332.7435897435897
1900-02-13,6824.0,366.0,13477.0,41.0,18.6448087431694,328.7073170731707
1900-02-14,7006.0,366.0,13718.0,41.0,19.14207650273224,334.5853658536585
1900-02-15,6015.0,366.0,13904.0,41.0,16.434426229508198,339.1219512195122
1900-02-16,5701.0,366.0,13687.0,41.0,15.576502732240437,333.8292682926829
1900-02-17,6655.0,366.0,13239.0,41.0,18.183060109289617,322.9024390243902
1900-02-18,11747.0,365.0,12316.0,39.0,32.18356164383562,315.79487179487177
1900-02-19,11713.0,365.0,12580.0,39.0,32.09041095890411,322.56410256410254
1900-02-20,2310.0,366.0,13531.0,41.0,6.311475409836065,330.0243902439024
1900-02-21,1573.0,366.0,13603.0,41.0,4.297814207650274,331.780487804878
