date,sum_p,count_p,sum_t,count_t,avg_prcp,avg_tmax
1900-01-01,43242.0,2577.0,-46105.0,2214.0,16.779976717112923,-20.824299909665765
1900-01-02,44356.0,2595.0,-3061.0,2229.0,17.09287090558767,-1.37326155226559
1900-01-03,39166.0,2590.0,40855.0,2236.0,15.122007722007721,18.271466905187836
1900-01-04,19107.0,2583.0,96278.0,2240.0,7.397212543554007,42.98125
1900-01-05,38732.0,2591.0,139034.0,2233.0,14.94866846777306,62.26332288401254
1900-01-06,21638.0,2595.0,171701.0,2243.0,8.338342967244701,76.54971020954079
1900-01-07,26451.0,2613.0,191892.0,2232.0,10.12284730195178,85.97311827956989
1900-01-08,27328.0,2589.0,171617.0,2248.0,10.555426805716493,76.3420818505338
1900-01-09,59375.0,2595.0,139262.0,2244.0,22.880539499036608,62.059714795008915
1900-01-10,96269.0,2623.0,139472.0,2249.0,36.70186808997331,62.015117830146735
1900-01-11,181907.0,2608.0,117550.0,2250.0,69.74961656441718,52.24444444444445
1900-01-12,117464.0,2615.0,129662.0,2252.0,44.919311663479924,57.57637655417407
1900-01-13,30080.0,2596.0,145996.0,2246.0,11.587057010785824,65.0026714158504
1900-01-14,26883.0,2584.0,164961.0,2229.0,10.403637770897832,74.00672947510094
1900-01-15,30449.0,2599.0,174185.0,2246.0,11.715659869180454,77.55342831700801
1900-01-16,48147.0,2608.0,171338.0,2255.0,18.46127300613497,75.98137472283814
1900-01-17,65516.0,2595.0,161648.0,2256.0,25.247013487475915,71.65248226950355
1900-01-18,60380.0,2623.0,162122.0,2251.0,23.019443385436524,72.02221235006664
1900-01-19,74302.0,2618.0,193926.0,2253.0,28.38120702826585,86.0745672436751
1900-01-20,107062.0,2610.0,195260.0,2252.0,41.01992337164751,86.70515097690941
1900-01-21,36578.0,2598.0,187679.0,2249.0,14.079291762894535,83.44997776789684
1900-01-22,16156.0,2571.0,226898.0,2257.0,6.283936211590821,100.53079308817014
1900-01-23,14392.0,2570.0,226815.0,2250.0,5.6,100.80666666666667
1900-01-24,12186.0,2566.0,189731.0,2255.0,4.749025720966485,84.1379157427938
1900-01-25,33568.0,2593.0,121538.0,2253.0,12.945622830698033,53.94496227252552
1900-01-26,26748.0,2591.0,40171.0,2258.0,10.32342724816673,17.79052258635961
1900-01-27,16625.0,2569.0,24612.0,2255.0,6.471389645776567,10.914412416851441
1900-01-28,29884.0,2577.0,5409.0,2250.0,11.596429957314706,2.404
1900-01-29,51703.0,2593.0,12032.0,2259.0,19.93945237177015,5.326250553342187
1900-01-30,21535.0,2576.0,-3322.0,2251.0,8.359860248447205,-1.4757885384273657
1900-01-31,18914.0,2567.0,-42383.0,2222.0,7.3681340085703155,-19.074257425742573
1900-02-01,10323.0,2591.0,-27500.0,2277.0,3.984175993824778,-12.077294685990339
1900-02-02,17376.0,2597.0,28562.0,2280.0,6.6907970735464,12.52719298245614
1900-02-03,34127.0,2609.0,98111.0,2273.0,13.0804906094289,43.16366036075671
1900-02-04,151188.0,2641.0,116600.0,2265.0,57.246497538811056,51.47902869757174
1900-02-05,92532.0,2626.0,111886.0,2275.0,35.236862147753236,49.18065934065934
1900-02-06,43308.0,2622.0,146918.0,2275.0,16.51716247139588,64.57934065934066
1900-02-07,89781.0,2625.0,154917.0,2272.0,34.202285714285715,68.18529929577464
1900-02-08,191930.0,2656.0,143738.0,2286.0,72.26280120481928,62.877515310586176
1900-02-09,69330.0,2627.0,85198.0,2282.0,26.39132089836315,37.334794040315515
1900-02-10,57953.0,2604.0,100446.0,2287.0,22.25537634408602,43.92041976388282
1900-02-11,59629.0,2602.0,157228.0,2278.0,22.916602613374327,69.02019315188763
1900-02-12,148340.0,2632.0,136354.0,2285.0,56.36018237082067,59.67352297592998
1900-02-13,214045.0,2638.0,111870.0,2285.0,81.13912054586808,48.95842450765864
1900-02-14,31993.0,2604.0,34768.0,2282.0,12.286098310291859,15.23575810692375
1900-02-15,25742.0,2608.0,10277.0,2282.0,9.870398773006135,4.50350569675723
1900-02-16,36315.0,2612.0,-43541.0,2280.0,13.903139356814702,-19.096929824561403
1900-02-17,42314.0,2614.0,-49605.0,2281.0,16.187452180566183,-21.747040771591408
1900-02-18,41959.0,2618.0,-11667.0,2277.0,16.027119938884645,-5.123847167325428
1900-02-19,25401.0,2601.0,44428.0,2281.0,9.765859284890427,19.47742218325296
1900-02-20,56105.0,2613.0,114681.0,2285.0,21.47148871029468,50.18862144420131
1900-02-21,134032.0,2637.0,156567.0,2283.0,50.827455441789915,68.57950065703022
1900-02-22,121685.0,2617.0,168799.0,2270.0,46.49789835689721,74.36079295154185
1900-02-23,48724.0,2630.0,146961.0,2279.0,18.526235741444868,64.4848617814831
1900-02-24,67674.0,2628.0,102284.0,2280.0,25.751141552511417,44.86140350877193
1900-02-25,66054.0,2618.0,38319.0,2275.0,25.230710466004584,16.843516483516485
1900-02-26,19851.0,2592.0,19273.0,2282.0,7.658564814814815,8.445661700262928
1900-02-27,61408.0,2608.0,40611.0,2287.0,23.54601226993865,17.75732400524705
1900-02-28,167500.0,2635.0,97326.0,2279.0,63.56736242884251,42.705572619569985
1900-03-01,197878.0,2666.0,146195.0,2290.0,74.22280570142536,63.84061135371179
1900-03-02,51358.0,2656.0,141366.0,2286.0,19.33659638554217,61.83989501312336
1900-03-03,29641.0,2645.0,146268.0,2289.0,11.206427221172023,63.900393184796854
1900-03-04,50059.0,2667.0,143542.0,2288.0,18.769778777652792,62.73688811188811
1900-03-05,95356.0,2676.0,110267.0,2291.0,35.633781763826605,48.13051069402008
1900-03-06,137667.0,2681.0,163215.0,2291.0,51.349123461395,71.24181580096028
1900-03-07,72248.0,2662.0,180340.0,2291.0,27.140495867768596,78.7167175905718
1900-03-08,63693.0,2662.0,216040.0,2293.0,23.926746806912096,94.21718273004797
1900-03-09,34301.0,2645.0,263789.0,2295.0,12.968241965973535,114.94074074074074
1900-03-10,22946.0,2644.0,305233.0,2287.0,8.678517397881997,133.4643637953651
1900-03-11,21053.0,2649.0,299415.0,2297.0,7.947527368818422,130.35045711797997
1900-03-12,8439.0,2644.0,271273.0,2302.0,3.191754916792738,117.84231103388358
1900-03-13,9890.0,2632.0,262050.0,2296.0,3.757598784194529,114.13327526132404
1900-03-14,30423.0,2622.0,177421.0,2290.0,11.602974828375286,77.4764192139738
1900-03-15,111200.0,2642.0,80447.0,2300.0,42.089326267978805,34.97695652173913
1900-03-16,118243.0,2662.0,54723.0,2295.0,44.41885800150263,23.844444444444445
1900-03-17,20642.0,2640.0,104887.0,2302.0,7.818939393939394,45.56342311033884
1900-03-18,38865.0,2647.0,199015.0,2290.0,14.682659614658103,86.9061135371179
1900-03-19,99530.0,2676.0,240757.0,2301.0,37.19357249626308,104.63146458061712
1900-03-20,50019.0,2661.0,207092.0,2293.0,18.79706877113867,90.31487134757958
1900-03-21,16542.0,2631.0,200893.0,2288.0,6.287343215507412,87.80288461538461
1900-03-22,26741.0,2643.0,271272.0,2296.0,10.117669315172153,118.14982578397212
1900-03-23,48990.0,2641.0,274051.0,2284.0,18.549791745550927,119.98730297723293
1900-03-24,71211.0,2653.0,245440.0,2295.0,26.84168865435356,106.94553376906318
1900-03-25,95068.0,2682.0,237500.0,2294.0,35.44668158090977,103.53095030514385
1900-03-26,61175.0,2662.0,238984.0,2295.0,22.98084147257701,104.13246187363835
1900-03-27,47050.0,2651.0,249715.0,2301.0,17.74801961523953,108.52455454150369
1900-03-28,43470.0,2644.0,234172.0,2296.0,16.440998487140696,101.99128919860627
1900-03-29,54534.0,2665.0,235284.0,2296.0,20.463039399624765,102.47560975609755
1900-03-30,24747.0,2649.0,231346.0,2299.0,9.342015855039637,100.6289691170074
1900-03-31,11402.0,2625.0,260011.0,2291.0,4.343619047619048,113.49236141422959
1900-04-01,12025.0,2621.0,318309.0,2293.0,4.5879435330026705,138.8177060619276
1900-04-02,29245.0,2625.0,334230.0,2300.0,11.140952380952381,145.31739130434784
1900-04-03,39233.0,2652.0,323312.0,2299.0,14.793740573152338,140.6315789473684
1900-04-04,43567.0,2643.0,287821.0,2297.0,16.48391978811956,125.30300391815412
1900-04-05,38383.0,2617.0,354662.0,2306.0,14.666794038975926,153.79965307892454
1900-04-06,55382.0,2625.0,422033.0,2310.0,21.09790476190476,182.6982683982684
1900-04-07,56280.0,2620.0,431460.0,2309.0,21.480916030534353,186.86011260285838
1900-04-08,43029.0,2640.0,377376.0,2302.0,16.298863636363638,163.93397046046917
