category,cosine_metric,,
political,-2.89759449918642,,
political,10.133232358303900,,
political,-2.6990523971445000,,
political,2.0817476559140100,,
political,-1.760459967623620,,
political,-1.6281005252634400,,
political,3.666721173087150,,
political,4.51459145695633,,
political,-3.013487101215600,,
political,5.366693411340840,,
political,3.1196723792318200,,
political,1.7247731593164100,,
political,-1.0439389565527800,,
political,6.320667853923420,,
political,1.6981507171860700,,
political,-1.915665407226640,,
political,4.584612544607140,,
political,-1.755231982867630,,
political,3.2070302376857600,,
political,1.437231675091030,,
political,12.121529752842300,,
political,17.48690001604950,,
political,14.117296902205800,,
political,18.775250332697700,,
political,13.017796138339900,,
political,-3.300858089330360,,
political,10.558909864192600,,
political,-0.5001306403118240,,
political,-2.203543946963190,,
political,5.944031458666670,,
political,-3.922489868704310,,
political,0.5073425737717650,,
political,-0.4529519800192060,,
political,10.136664540847700,,
political,2.7569167579422700,,
political,-1.6772758709134000,,
political,-2.9967925247757700,,
political,-1.3671895050791000,,
political,-3.8640867178532800,,
political,-2.6444134770391000,,
political,-0.9173915941335660,,
political,1.2749415606524800,,
political,1.7029213482042800,,
political,0.5530810132141470,,
political,5.493455297176030,,
political,15.671631868297900,,
political,-0.6047590343461980,,
political,6.195533093960050,,
political,3.136770301008150,,
political,2.9042865649266500,,
political,-0.6399851779124110,,
political,10.445295545581000,,
political,3.651002530834180,,
political,5.223255480952650,,
political,13.426496992030500,,
political,12.967865771915700,,
political,5.242182451420850,,
political,-0.9287966404257430,,
political,3.713732295046700,,
political,-0.10174214245269200,,
political,-1.318543372404520,,
political,-1.369936040889820,,
political,-2.1605409984980900,,
political,0.8209273840946310,,
political,0.36723126810904800,,
political,1.9127609734511000,,
political,0.5505033079575700,,
political,-1.1984494740231900,,
political,-1.1214991038809400,,
political,6.923395387819210,,
political,1.4239211883699000,,
political,12.90856125270570,,
political,-2.884208109400310,,
political,11.343797481595900,,
political,3.5233159953459500,,
political,-2.371864265612860,,
political,-3.102729240669390,,
political,2.2023904449005900,,
political,9.324606656308650,,
political,6.671545496153200,,
political,13.269213602435900,,
political,-2.983918547038610,,
political,-3.9765408051131400,,
political,6.873635059614150,,
political,5.923817176331050,,
political,1.2657985794081100,,
political,1.6671930700722400,,
political,9.045247239489260,,
political,1.772185617554730,,
political,2.0822954566883700,,
political,-0.9216485253857370,,
political,8.620832055224820,,
political,2.694232666704670,,
political,4.566319147099370,,
political,-2.9697077724162300,,
political,1.425648293122190,,
political,2.5740597072799700,,
political,2.2023904449005900,,
political,8.845472793994830,,
political,2.119898540396210,,
political,2.0822954566883700,,
political,-3.5407581971210000,,
political,-2.048152949921400,,
political,-3.5103132889801900,,
political,3.1959907923932900,,
political,1.0331427935645700,,
political,8.454116339660660,,
political,-3.0142904338590400,,
political,-2.420792751483370,,
political,4.388628026552360,,
political,-3.8163798872871500,,
political,-3.9469155933943700,,
political,0.07862595310415990,,
political,2.9483385719174100,,
political,12.5924102349452,,
political,9.496342031328790,,
political,-3.9762086319009400,,
political,9.939382838177900,,
political,4.4379991088484000,,
political,9.615687254075590,,
political,9.186250505082140,,
political,5.391789636048740,,
political,5.895051237869420,,
political,3.4924844360866400,,
political,2.7659621086753800,,
political,-3.431270301688650,,
political,0.31285205997074100,,
political,-2.61511263983675,,
political,-0.9379653881427530,,
political,5.663804442763840,,
political,6.425725071357370,,
