vix,conjunctions,squares,oppositions,trines,sextiles,hard_aspects,soft_aspects
17.790000915527300,0,2,0,0,0,2,0
19.920000076293900,0,2,0,0,0,2,0
21.1200008392334,0,2,0,0,0,2,0
19.309999465942400,0,2,0,0,0,2,0
17.010000228881800,0,2,0,0,0,2,0
17.549999237060500,0,2,0,0,0,2,0
19.600000381469700,0,2,0,0,0,2,0
20.559999465942400,0,2,0,0,0,2,0
21.479999542236300,0,2,0,0,0,2,0
22.389999389648400,0,2,0,0,0,2,0
20.950000762939500,0,2,0,0,0,2,0
19.889999389648400,0,2,0,0,0,2,0
18.850000381469700,0,2,0,0,0,2,0
16.399999618530300,0,2,0,0,0,2,0
16.65999984741210,0,2,0,0,0,2,0
15.520000457763700,0,2,0,0,0,2,0
17.219999313354500,0,2,0,1,0,2,1
20.440000534057600,0,2,0,1,0,2,1
18.760000228881800,0,2,0,1,0,2,1
20.969999313354500,0,2,0,1,0,2,1
19.43000030517580,0,2,0,1,0,2,1
17.329999923706100,0,2,0,1,0,2,1
18.329999923706100,0,2,0,1,0,2,1
16.850000381469700,0,2,0,1,0,2,1
17.290000915527300,0,2,0,1,0,2,1
18.549999237060500,0,2,0,1,0,2,1
17.229999542236300,0,2,0,1,0,2,1
16.959999084472700,0,2,0,1,0,2,1
15.34000015258790,0,2,0,1,0,2,1
14.6899995803833,0,2,0,1,0,2,1
15.800000190734900,0,2,0,1,0,2,1
15.449999809265100,0,2,0,1,0,2,1
15.289999961853000,0,2,0,1,0,2,1
14.300000190734900,0,2,0,1,0,2,1
14.5600004196167,0,2,0,1,0,2,1
13.6899995803833,0,2,0,1,0,2,1
13.84000015258790,0,2,0,1,0,2,1
13.90999984741210,0,2,0,1,0,2,1
13.34000015258790,0,2,0,1,0,2,1
13.039999961853000,0,2,0,1,0,2,1
13.859999656677200,0,2,0,1,0,2,1
14.229999542236300,0,2,0,1,0,2,1
14.039999961853000,0,2,0,1,0,2,1
15.199999809265100,0,2,0,1,0,2,1
15.0600004196167,0,2,0,1,0,2,1
16.690000534057600,0,2,0,1,0,2,1
16.8700008392334,0,2,0,1,0,2,1
15.420000076293900,0,2,0,1,0,2,1
16.0,0,2,0,1,0,2,1
15.609999656677200,0,2,0,1,0,2,1
15.65999984741210,0,2,0,1,0,2,1
13.970000267028800,0,2,0,1,0,2,1
14.069999694824200,0,2,0,1,0,2,1
13.020000457763700,0,2,0,1,0,2,1
13.40999984741210,0,2,0,1,0,2,1
13.619999885559100,0,2,0,1,0,2,1
15.4399995803833,0,2,0,1,0,2,1
15.800000190734900,0,2,0,1,0,2,1
15.069999694824200,0,2,0,1,0,2,1
14.510000228881800,0,2,0,1,0,2,1
15.289999961853000,0,2,0,1,0,2,1
15.109999656677200,0,2,0,1,0,2,1
14.670000076293900,0,2,0,1,0,2,1
14.739999771118200,0,2,0,1,0,2,1
14.779999732971200,0,2,0,1,0,2,1
13.979999542236300,0,2,0,1,0,2,1
13.09000015258790,0,2,0,1,0,2,1
12.579999923706100,0,2,0,1,0,2,1
13.9399995803833,0,2,0,1,0,2,1
13.670000076293900,0,2,0,1,0,2,1
12.84000015258790,0,2,0,1,0,2,1
12.600000381469700,0,2,0,1,0,2,1
13.890000343322800,0,2,0,1,0,2,1
13.300000190734900,0,2,0,1,0,2,1
13.25,0,2,0,1,0,2,1
12.710000038147000,0,2,0,1,0,2,1
12.479999542236300,0,2,0,1,0,2,1
12.289999961853000,0,2,0,1,0,2,1
13.119999885559100,0,2,0,1,0,2,1
12.40999984741210,0,2,0,1,0,2,1
13.390000343322800,0,2,0,1,0,2,1
14.550000190734900,0,1,0,1,0,1,1
12.699999809265100,0,1,0,1,0,1,1
12.850000381469700,0,1,0,1,0,1,1
14.3100004196167,0,1,0,1,0,1,1
15.149999618530300,0,1,0,1,0,1,1
15.130000114440900,0,1,0,1,0,1,1
12.859999656677200,0,1,0,1,0,1,1
13.850000381469700,0,1,0,1,0,1,1
13.859999656677200,0,1,0,1,0,1,1
13.760000228881800,0,1,0,1,0,1,1
12.739999771118200,0,1,0,1,0,1,1
12.380000114440900,0,1,0,1,0,1,1
12.729999542236300,0,1,0,1,0,1,1
12.850000381469700,0,1,0,1,0,1,1
12.880000114440900,0,1,0,1,0,1,1
12.109999656677200,0,1,0,1,0,1,1
12.130000114440900,0,1,0,1,0,1,1
14.0600004196167,0,1,0,1,0,1,1
13.270000457763700,0,1,0,1,0,1,1
13.3100004196167,0,1,0,1,0,1,1
13.84000015258790,0,1,0,1,0,1,1
13.970000267028800,0,1,0,1,0,1,1
14.239999771118200,0,1,0,1,0,1,1
13.65999984741210,0,1,0,1,0,1,1
14.710000038147000,0,1,0,1,0,1,1
14.210000038147000,0,1,0,1,0,1,1
15.289999961853000,0,1,0,1,0,1,1
14.470000267028800,0,1,0,1,0,1,1
13.220000267028800,0,1,0,1,0,1,1
12.850000381469700,0,1,0,1,0,1,1
13.779999732971200,0,1,0,1,0,1,1
15.390000343322800,0,1,0,1,1,1,2
14.8100004196167,0,1,0,1,1,1,2
14.5,0,1,0,1,1,1,2
13.1899995803833,0,1,0,1,1,1,2
13.960000038147000,0,1,0,1,1,1,2
12.739999771118200,0,1,0,1,1,1,2
12.109999656677200,0,1,0,1,1,1,2
13.260000228881800,0,1,0,1,1,1,2
14.010000228881800,0,1,0,1,1,1,2
14.020000457763700,0,1,0,1,1,1,2
18.850000381469700,0,1,0,1,1,1,2
18.229999542236300,0,1,0,1,1,1,2
16.09000015258790,0,1,0,1,1,1,2
16.790000915527300,0,1,0,1,1,1,2
17.010000228881800,0,0,0,1,1,0,2
16.09000015258790,0,0,0,1,1,0,2
19.65999984741210,0,1,0,1,1,1,2
19.969999313354500,0,1,0,1,1,1,2
16.829999923706100,0,1,0,1,1,1,2
13.899999618530300,0,1,0,1,1,1,2
13.369999885559100,0,1,0,1,1,1,2
13.229999542236300,0,1,0,1,1,1,2
12.109999656677200,0,1,0,1,1,1,2
11.949999809265100,0,1,0,1,1,1,2
12.25,0,1,0,1,1,1,2
12.220000267028800,0,1,0,1,1,1,2
12.119999885559100,0,1,0,1,1,1,2
12.640000343322800,0,1,0,1,1,1,2
13.739999771118200,0,1,0,1,1,1,2
15.600000381469700,0,1,0,0,1,1,1
13.4399995803833,0,1,0,0,1,1,1
12.5,0,1,0,0,1,1,1
12.130000114440900,0,1,0,0,1,1,1
12.119999885559100,0,1,0,0,1,1,1
12.5600004196167,0,1,0,0,1,1,1
13.0,0,1,0,0,1,1,1
12.510000228881800,0,1,0,0,1,1,1
13.770000457763700,0,1,0,0,1,1,1
13.390000343322800,0,1,0,0,1,1,1
12.229999542236300,0,1,0,0,1,1,1
13.710000038147000,0,1,0,0,1,1,1
13.609999656677200,0,1,0,0,1,1,1
13.489999771118200,0,1,0,0,1,1,1
12.829999923706100,0,1,0,0,1,1,1
13.020000457763700,0,1,1,0,1,2,1
13.789999961853000,0,1,1,0,1,2,1
15.25,0,1,1,0,1,2,1
19.139999389648400,0,1,1,0,1,2,1
28.030000686645500,0,1,1,0,1,2,1
40.7400016784668,0,1,1,0,1,2,1
36.02000045776370,0,1,1,0,1,2,1
30.31999969482420,0,1,1,0,1,2,1
26.100000381469700,0,1,1,0,1,2,1
26.049999237060500,0,1,1,0,1,2,1
28.43000030517580,0,1,1,0,1,2,1
31.399999618530300,0,1,1,0,1,2,1
26.09000015258790,0,1,1,0,1,2,1
25.610000610351600,0,1,1,0,1,2,1
27.799999237060500,0,0,1,0,1,1,1
24.899999618530300,0,0,1,0,1,1,1
26.229999542236300,0,0,1,0,1,1,1
24.3700008392334,0,0,1,0,1,1,1
23.200000762939500,0,0,1,0,1,1,1
24.25,0,0,1,1,1,1,2
22.540000915527300,0,0,1,1,1,1,2
21.350000381469700,0,0,1,1,0,1,1
21.139999389648400,0,0,1,1,0,1,1
22.280000686645500,0,0,1,1,0,1,1
20.139999389648400,0,0,1,1,0,1,1
22.440000534057600,0,0,1,1,0,1,1
22.1299991607666,0,0,1,1,0,1,1
23.469999313354500,0,0,1,1,0,1,1
23.6200008392334,0,0,1,1,0,1,1
27.6299991607666,0,0,1,1,0,1,1
26.829999923706100,0,0,1,1,0,1,1
24.5,0,1,1,1,0,2,1
22.549999237060500,0,1,1,1,0,2,1
20.940000534057600,0,1,1,1,0,2,1
19.540000915527300,0,1,1,1,0,2,1
19.399999618530300,0,1,1,1,0,2,1
18.399999618530300,0,2,1,1,0,3,1
17.420000076293900,0,2,1,1,0,3,1
17.079999923706100,0,2,1,1,0,3,1
16.170000076293900,0,2,1,1,0,3,1
17.670000076293900,0,2,1,1,0,3,1
18.030000686645500,0,2,1,1,0,3,1
16.049999237060500,0,2,1,1,0,3,1
15.050000190734900,0,2,1,1,0,3,1
14.979999542236300,0,2,1,1,0,3,1
15.75,0,2,1,1,0,3,1
16.700000762939500,0,2,1,1,0,3,1
14.449999809265100,0,2,1,1,0,3,1
14.460000038147000,0,2,0,1,0,2,1
15.289999961853000,0,2,0,1,0,2,1
15.430000305175800,0,2,0,1,0,2,1
14.329999923706100,0,2,0,1,0,2,1
14.609999656677200,0,2,0,1,0,2,1
15.069999694824200,0,2,0,1,0,2,1
14.149999618530300,0,2,0,1,0,2,1
14.539999961853000,0,2,0,1,0,2,1
15.510000228881800,0,2,0,1,0,2,1
15.050000190734900,0,2,0,1,0,2,1
14.329999923706100,0,2,0,1,0,2,1
16.520000457763700,0,2,0,1,0,2,1
15.289999961853000,0,2,0,1,0,2,1
16.059999465942400,0,2,0,1,0,2,1
18.3700008392334,0,2,0,1,0,2,1
20.079999923706100,0,2,0,1,0,2,1
18.15999984741210,0,2,0,1,0,2,1
18.84000015258790,0,2,0,1,0,2,1
16.850000381469700,0,2,0,1,0,2,1
16.989999771118200,0,2,0,1,0,2,1
15.470000267028800,0,2,0,1,0,2,1
15.619999885559100,0,2,0,0,0,2,0
15.930000305175800,0,2,0,0,0,2,0
15.1899995803833,0,2,0,0,0,2,0
15.119999885559100,0,2,0,0,0,2,0
16.1299991607666,0,2,0,0,0,2,0
14.670000076293900,0,2,0,0,0,2,0
15.90999984741210,0,2,0,0,0,2,0
18.110000610351600,0,2,0,0,0,2,0
14.8100004196167,0,2,0,0,0,2,0
15.84000015258790,0,2,0,0,0,2,0
17.600000381469700,0,2,0,0,0,2,0
19.610000610351600,0,2,0,0,0,2,0
19.34000015258790,0,2,0,0,0,2,0
24.389999389648400,0,2,0,0,0,2,0
22.729999542236300,0,2,0,0,0,2,0
20.950000762939500,0,2,0,0,0,2,0
17.860000610351600,0,2,0,0,0,2,0
18.940000534057600,0,2,0,0,0,2,0
20.700000762939500,0,2,0,0,0,2,0
18.700000762939500,0,2,0,0,0,2,0
16.600000381469700,0,2,0,0,0,2,0
15.569999694824200,0,2,0,0,0,2,0
15.739999771118200,0,2,0,0,0,2,0
16.90999984741210,0,2,0,1,0,2,1
16.079999923706100,0,2,0,1,0,2,1
17.290000915527300,0,2,0,1,0,2,1
18.209999084472700,0,2,0,1,0,2,1
20.700000762939500,0,2,0,1,0,2,1
19.34000015258790,0,2,0,1,0,2,1
20.59000015258790,0,2,0,1,0,2,1
24.989999771118200,0,2,0,1,0,2,1
27.010000228881800,0,2,0,1,0,2,1
24.299999237060500,0,2,0,1,0,2,1
22.469999313354500,0,2,0,1,0,2,1
25.219999313354500,0,2,0,1,0,2,1
23.950000762939500,0,2,0,1,0,2,1
27.020000457763700,0,2,0,1,0,2,1
26.049999237060500,0,2,0,1,0,2,1
27.59000015258790,0,2,0,1,0,2,1
26.690000534057600,0,2,0,1,0,2,1
22.34000015258790,0,2,0,1,0,2,1
24.149999618530300,0,2,0,1,0,2,1
22.5,0,2,0,1,0,2,1
23.110000610351600,0,2,0,1,0,2,1
22.420000076293900,0,2,0,1,0,2,1
20.200000762939500,0,2,0,1,0,2,1
19.979999542236300,0,2,0,1,0,2,1
21.979999542236300,0,2,0,1,0,2,1
21.649999618530300,0,2,0,2,0,2,2
21.84000015258790,0,2,0,2,0,2,2
23.3799991607666,0,2,0,2,0,2,2
26.0,0,2,0,2,0,2,2
26.540000915527300,0,1,0,2,0,1,2
26.290000915527300,0,1,0,2,0,1,2
28.139999389648400,0,1,0,2,0,1,2
25.399999618530300,0,1,0,2,0,1,2
24.110000610351600,0,2,0,2,0,2,2
22.309999465942400,0,2,0,2,0,2,2
21.639999389648400,0,2,0,2,0,2,2
20.530000686645500,0,2,0,2,0,2,2
19.3799991607666,0,2,0,2,0,2,2
20.979999542236300,0,2,0,2,0,2,2
20.719999313354500,0,2,0,2,0,2,2
19.110000610351600,0,2,0,2,0,2,2
19.809999465942400,0,2,0,2,0,2,2
20.549999237060500,0,2,0,2,0,2,2
17.700000762939500,0,2,0,2,0,2,2
17.09000015258790,0,2,0,2,0,2,2
16.700000762939500,0,2,0,2,0,2,2
16.860000610351600,0,2,0,2,0,2,2
17.350000381469700,0,2,0,2,0,2,2
18.670000076293900,0,2,0,2,0,2,2
18.34000015258790,0,2,0,2,0,2,2
18.049999237060500,0,2,0,2,0,2,2
16.5,0,2,1,2,0,3,2
16.920000076293900,0,2,1,2,0,3,2
16.84000015258790,0,2,1,2,0,3,2
14.989999771118200,0,2,1,2,0,3,2
14.4399995803833,0,2,1,2,0,3,2
14.020000457763700,0,2,1,2,0,3,2
13.789999961853000,0,2,1,2,0,3,2
14.170000076293900,0,2,1,2,0,3,2
14.9399995803833,0,2,1,2,0,3,2
