returns,jupiter_lon,saturn_lon,mars_lon,js_separation,js_aspect_strength,mars_jupiter_aspect,js_synodic_phase
-0.007742767184426460,307.0707398976200,169.42339229484000,183.11363638316000,137.647347602779,0.0,0.5053620606925440,137.647347602779
0.011404593985463500,307.2981907984360,169.4145836288020,183.46475131921000,137.8836071696350,0.0,0.5208200650967460,137.8836071696350
0.004747769845396160,307.5263395971760,169.40394911518900,183.81003949889500,138.12239048198800,0.0,0.5354624877147850,138.12239048198800
0.0029532921535306800,307.75515958373400,169.391487538789,184.14936361226700,138.36367204494500,0.0,0.5492755035665730,138.36367204494500
0.00588930413225186,308.44542470455000,169.34317382330300,185.1301154987540,139.1022508812470,0.0,0.5855863492755090,139.1022508812470
-0.002927355812873960,308.67672561587000,169.32345771147700,185.44413170582500,139.353267904393,0.0,0.5959257612443740,139.353267904393
0.0035231628610228300,308.90861083777000,169.30195991903100,185.75144208376600,139.60665091873900,0.0,0.6053539057495140,139.60665091873900
-0.01930953310471940,309.14106661476900,169.27869663115900,186.05188705213900,139.86236998361000,0.0,0.6138525546711760,139.86236998361000
-0.0053699374319098300,309.3740755424600,169.25368245914100,186.34530172586100,140.12039308331800,0.0,0.6214032729252140,140.12039308331800
0.0029993543390349800,310.0761666879100,169.16823587301500,187.1816419467070,140.90793081489500,0.0,0.6381844073496270,140.90793081489500
0.008373283657090230,310.31111092687400,169.1363086503640,187.44520089689100,141.17480227651000,0.0,0.6417612462522260,141.17480227651000
-0.0005931333641646660,310.54645449617600,169.10267205075500,187.70085922989800,141.44378244542200,0.0,0.6443005917151760,141.44378244542200
0.0011869707602896200,310.7821658682050,169.0673396133820,187.94844996416500,141.71482625482400,0.0,0.6457855119950050,141.71482625482400
0.0017782322350044000,311.01821756506700,169.03033013225400,188.18781189144900,141.987887432813,0.0,0.6461992907976320,141.987887432813
0.0011834590659838300,311.728190092857,168.90948795520200,188.85496549551100,142.81870213765500,0.0,0.6408469253318070,142.81870213765500
-0.0035460677111016600,311.9653873265520,168.86602924500200,189.05985531569000,143.09935808154900,0.0,0.636808498642246,143.09935808154900
-0.007117487241354080,312.2028223421740,168.82102955967200,189.2557347343720,143.3817927825020,0.0,0.6316140490247800,143.3817927825020
-0.0005973852460314790,312.4404752935700,168.77451730760400,189.44244171117700,143.66595798596600,0.0,0.6252458022008190,143.66595798596600
0.00537956694862296,312.6783255524970,168.72652022059000,189.61981107708700,143.95180533190700,0.0,0.6176856905737440,143.95180533190700
0.011890651995730700,313.39283989409200,168.57388263581400,190.09419082427800,144.81895725827800,0.0,0.5876688662732260,144.81895725827800
0.001762560428322010,313.6312545932940,168.52020249607000,190.2324871171340,145.11105209722400,0.0,0.5751540654800740,145.11105209722400
0.0,313.86975140652500,168.46515914635700,190.36056287630000,145.4045922601680,0.0,0.5613514337218570,145.4045922601680
0.010557203122011100,314.1083084475950,168.40877420299400,190.4782279209680,145.69953424460100,0.0,0.5462399341716630,145.69953424460100
0.0034823781128916500,314.34685044923800,168.35107092586600,190.58528885432900,145.99577952337200,0.0,0.5298048006364160,145.99577952337200
0.0017350363047079500,315.0623961606590,168.17034404676500,190.84090066846200,146.89205211389400,0.0,0.47231306347532300,146.89205211389400
-0.005196313751367200,315.30091167037700,168.10768255285000,190.90360250936800,147.193229117527,0.0,0.450336354873798,147.193229117527
-0.0011607927042971400,315.53938087418800,168.0438771629580,190.9547335209480,147.49550371123100,0.0,0.4269190808449080,147.49550371123100
0.004067495984704020,315.7777909043360,167.97896588927800,190.99410397415300,147.79882501505700,0.0,0.4020391337271220,147.79882501505700
-0.002314867704736660,316.0161223752110,167.91298357789500,191.0215273248370,148.10313879731600,0.0,0.37567561870324100,148.10313879731600
-0.010440853107047700,316.9681023046030,167.63896042003100,191.00829497750400,149.32914188457300,0.0,0.25502408411265900,149.32914188457300
