ticker,ipo_date,start_price,price_1yr,pct_change_1yr,Sun_lon,Moon_lon,Mercury_lon,Venus_lon,Mars_lon,Jupiter_lon,Saturn_lon,Uranus_lon,Neptune_lon,Pluto_lon,NorthNode_lon,Chiron_lon,Tithi,moon_phase_label,cos_Sun_Moon,cos_Sun_Mercury,cos_Sun_Venus,cos_Sun_Mars,cos_Sun_Jupiter,cos_Sun_Saturn,cos_Sun_Uranus,cos_Sun_Neptune,cos_Sun_Pluto,cos_Sun_NorthNode,cos_Sun_Chiron,cos_Moon_Mercury,cos_Moon_Venus,cos_Moon_Mars,cos_Moon_Jupiter,cos_Moon_Saturn,cos_Moon_Uranus,cos_Moon_Neptune,cos_Moon_Pluto,cos_Moon_NorthNode,cos_Moon_Chiron,cos_Mercury_Venus,cos_Mercury_Mars,cos_Mercury_Jupiter,cos_Mercury_Saturn,cos_Mercury_Uranus,cos_Mercury_Neptune,cos_Mercury_Pluto,cos_Mercury_NorthNode,cos_Mercury_Chiron,cos_Venus_Mars,cos_Venus_Jupiter,cos_Venus_Saturn,cos_Venus_Uranus,cos_Venus_Neptune,cos_Venus_Pluto,cos_Venus_NorthNode,cos_Venus_Chiron,cos_Mars_Jupiter,cos_Mars_Saturn,cos_Mars_Uranus,cos_Mars_Neptune,cos_Mars_Pluto,cos_Mars_NorthNode,cos_Mars_Chiron,cos_Jupiter_Saturn,cos_Jupiter_Uranus,cos_Jupiter_Neptune,cos_Jupiter_Pluto,cos_Jupiter_NorthNode,cos_Jupiter_Chiron,cos_Saturn_Uranus,cos_Saturn_Neptune,cos_Saturn_Pluto,cos_Saturn_NorthNode,cos_Saturn_Chiron,cos_Uranus_Neptune,cos_Uranus_Pluto,cos_Uranus_NorthNode,cos_Uranus_Chiron,cos_Neptune_Pluto,cos_Neptune_NorthNode,cos_Neptune_Chiron,cos_Pluto_NorthNode,cos_Pluto_Chiron,cos_NorthNode_Chiron
ACHV,1995-10-12 00:00:00-04:00,272250.0,811800.0,1.981818181818182,198.6862716987723,62.94840773916613,185.21110312059486,212.70643310806201,234.05258732178137,252.34706927163558,349.33502907683356,296.5410235915525,292.78917152590594,238.93826255573103,206.70111990211075,184.766386850667,19,Waning,-0.7161541256643931,0.9724710019781639,0.9702105380098692,0.8154682161466633,0.5925644655232248,-0.8716312433164755,-0.1366622697539858,-0.07154792624641948,0.7632100184461379,0.9902319687752352,0.9706330505189831,-0.5338018959767167,-0.8639060599032865,-0.9879711488732469,-0.9865759767409178,0.28211744769704233,-0.5935226145271704,-0.6449141123365424,-0.997551683062377,-0.8064725936999165,-0.5272224613644556,0.8870484660197895,0.6581445121101327,0.3885456198660587,-0.9618556274219504,-0.36373772007874217,-0.3020050076780166,0.5916310849153769,0.9304814130438074,0.9999698776676487,0.931398310846787,0.7700609657166076,-0.7269175015859182,0.1073991494014915,0.17222587778032664,0.897012962079368,0.9945121978606719,0.8834383598312593,0.949455713269229,-0.4270807879639978,0.4619276249384451,0.5189734213894418,0.9963666205063166,0.888204880342467,0.6522809794582888,-0.12166076603343624,0.7169841664455344,0.7610618485938436,0.97274024563132,0.6990901315056824,0.38138207033411414,0.6046824477143976,0.5512693953672345,-0.3485191513954134,-0.7947739426555913,-0.9639499219450439,0.9978568085844453,0.5357861068984309,0.002794204103529962,-0.37095678414593036,0.5898884268185058,0.06822334477281632,-0.30939517429520236,0.845847545121763,0.5853557245403453,0.9276099759578111
BHFAN,2020-11-11 00:00:00-05:00,17.70071029663086,18.96554946899414,0.07145697269583752,229.55302367016816,177.46891800525918,210.61676247024218,197.6037081957643,15.276267787299107,292.63417038427707,296.85037303898446,38.241175849104835,348.2492624533576,292.8380146454477,81.53179332666252,5.465309322557316,26,Waning,0.6145040750762061,0.9458801693811094,0.8485165371417841,-0.8263268413496526,0.45272813249644434,0.38594872059115226,-0.9805741191547294,-0.4801659156071913,0.44955300799520637,-0.8482443938975017,-0.7182755024135227,0.8372624057421977,0.9388854076621472,-0.9520901709579903,-0.4252304715289605,-0.4906217415033203,-0.7573113479109264,-0.9870813590914814,-0.42844784325266294,-0.10343703074098477,-0.9902768323717777,0.9743187866311536,-0.9643706811861879,0.1388722259334163,0.06568856363442482,-0.9911590966391575,-0.7388377075035568,0.13534807449117248,-0.630472199320628,-0.9051874914472641,-0.9991750603849341,-0.08768537274384718,-0.16068511279922443,-0.9358292544258383,-0.8716038394377255,-0.09122886015771528,-0.4394989236549214,-0.977642533596438,0.12806694310521877,0.20063518294582577,0.9207439918284008,0.8907924449790375,0.13159458244073913,0.4026584163951425,0.9853753259716427,0.9972937263413569,-0.2690375829767234,0.5647496437372478,0.9999936712016256,-0.8562456541963025,0.2951888345813289,-0.1974999834835649,0.6238947450972083,0.9975489809558028,-0.8159501611467912,0.3646340574909149,0.6428957211647048,-0.2656093095156747,0.7278850547063606,0.8407947010652035,0.5676821431568367,-0.05725963608022186,0.9551955054963873,-0.8544024144136074,0.29858617544040245,0.24079583600616128
IMMX,2021-12-16 00:00:00-05:00,3.6700000762939453,1.8899999856948853,-0.48501363858186813,264.74278970393686,55.71415234807606,274.3333850758675,296.3160027008642,242.16043296002715,327.72317503182796,310.3199368062255,41.27810492563489,350.46756392869895,295.45678110011823,60.35117209689569,8.441241002305533,13,Waxing,-0.8743772822250985,0.986023397497498,0.8519718156750091,0.9233285105173115,0.45429550084740966,0.6999482582164068,-0.7257985121698848,0.07454754516408335,0.8597275734581011,-0.9107440883852024,-0.23681188506215856,-0.7813110079686028,-0.49087561772825167,-0.9936775560491928,0.03505687587811552,-0.26545878314392424,0.9684265071446769,0.4187138106499072,-0.5038851075139178,0.9967268525502406,0.6785070515450486,0.9272974599231987,0.8464446292024063,0.5963679266774945,0.8091549350350632,-0.6010442031451916,0.2396489348525209,0.932806456796953,-0.8292111296119707,-0.07163420454351994,0.5855864419821162,0.8534855701903298,0.9702791128834259,-0.2581800856290417,0.5856431522408246,0.9998875584111427,-0.5597016793923855,0.3069374187885782,0.07736736886295345,0.37202398836518213,-0.9343144600059241,-0.3141106179688862,0.5976762485191756,-0.9995014703084697,-0.5917431895562488,0.9542234258948532,0.28309598664716834,0.9222388387127282,0.8455751049865613,-0.04585112063872298,0.7579286849309684,-0.016722409000394303,0.7643857088767472,0.9665412298352484,-0.3425323740511185,0.5281226264441817,0.6318867214774488,-0.2726383377739735,0.9451026219377748,0.8402178961902399,0.5734222651699801,0.34392834734052624,0.9511983850446974,-0.572065581465406,0.29263106855782445,0.6168994661899149
MDXH,2021-11-04 00:00:00-04:00,12.0,7.489999771118164,-0.37583335240681964,222.2840325240841,216.90243195988032,207.72789656437288,269.0954079358685,213.297055379921,322.8254839725131,307.3755441498314,42.80432404511935,350.6044428980333,294.5166544712041,62.57478304351899,9.312626639625371,30,New Moon,0.9955921343407627,0.967901864099924,0.6844023641808575,0.9877238713395221,-0.18294682751799674,0.08556453083363688,-0.9999587698179849,-0.6200585519597462,0.3051531506853361,-0.9379449295623385,-0.8389422718470767,0.9872072253626322,0.6130039160035494,0.9980208318330943,-0.27434613727486135,-0.008257271609470391,-0.9946994220448157,-0.6909077849848192,0.2144928815354705,-0.9012861849312728,-0.8862859998031546,0.47918962674960325,0.995279782742079,-0.4241612909758635,-0.16758865040523258,-0.9655797254291262,-0.797336942620496,0.056017409517920815,-0.8206819059556808,-0.948791854176091,0.5621071589346404,0.5915900446538648,0.7849911936096995,-0.6909949075782095,0.14765345154168927,0.9031761721761723,-0.8947736847788444,-0.17738050580752077,-0.33427453095033893,-0.07112295834829026,-0.9862646553081752,-0.7350020285850601,0.15264778536877147,-0.8722594420275097,-0.9136559626205738,0.9638635755278434,0.17401186556436382,0.8847521895401537,0.8804042842273289,-0.1693374470178059,0.688517334394825,-0.09460837611381527,0.7286232640026157,0.974921127558032,-0.42576727197585573,0.4704408599209215,0.6129086927292042,-0.3137881261321625,0.9410552930085024,0.8339657931815678,0.5579219986205288,0.309509278878242,0.9471644738930869,-0.61646062281544,0.2622570176129593,0.5981545856658601
MFAN,2024-01-24 00:00:00-05:00,21.458274841308594,23.29108238220215,0.08541262307654292,303.97895314122303,109.92205695071016,282.9402688677597,271.39289790162445,284.9275011663347,36.5907976496273,335.5973424009957,49.09189433114554,355.5604140124515,300.112557845755,19.63282380882133,15.819395443565863,14,Full Moon,-0.9700550132135066,0.9333382551779589,0.8425834991563257,0.94522583212218,-0.045569500018762484,0.8515587153607349,-0.2607225697975266,0.6214013265387507,0.9977239990673983,0.24777909561302766,0.31166430172235904,-0.9925848386358598,-0.9481620492705997,-0.9962029750885979,0.28683791049005414,-0.698723934697612,0.48740005305906725,-0.41249467373040866,-0.9842249534385641,-0.005048049191863637,-0.0715437774373522,0.9797595364319498,0.9993985791546492,-0.40115701120535996,0.6065842053752593,-0.5899241446922533,0.29870526373529227,0.9554212691658014,-0.11654168273445105,-0.05022909329997771,0.9722287558694955,-0.5764023622637996,0.4351612593026122,-0.7396193066410242,0.10162032934489791,0.8769813326201432,-0.3129968197612357,-0.24913780057974597,-0.36915148171262063,0.6337881109453141,-0.5615692747372187,0.3316192546157331,0.9650848432481698,-0.08203109353382647,-0.01556586305753172,0.48490952267094517,0.9762918641346513,0.7543615696226491,-0.11282585987064184,0.956518951830483,0.9350028029418272,0.28410651447873325,0.9399128650881894,0.8142697008974207,0.7189094831597078,0.7635475365598009,0.5943810297276384,-0.3252271354546068,0.8707072386499577,0.8360707877743482,0.5671560243191286,0.9130306987980166,0.9381370686282082,0.1818877291876329,0.246883369988521,0.9977859083279685
MFI,2024-04-22 00:00:00-04:00,98.31999969482422,4.559999942779541,-0.9536208303810686,32.845549617196944,196.2834808951013,16.365908513677397,21.396668533680245,353.7069655245944,52.15131398775658,345.8573741111636,51.90761128640741,358.66253520233926,302.0788415555049,14.919566201199283,20.212529100039713,14,Waxing,-0.9585114974837163,0.9589205934448567,0.980102189338576,0.7756215217741498,0.9437676946641225,0.6821492796468991,0.9451653719237618,0.8272471700107736,-0.01338118071582071,0.9514549209864058,0.975790880271883,-0.9999989651672369,-0.9960205784301521,-0.9233676561022526,-0.8103707130254643,-0.8622830057302512,-0.8128555250735718,-0.9530800663471846,-0.2722023336722145,-0.9997166790773651,-0.9976496677610922,0.9961477637829387,0.9228143851370829,0.8112127945743245,0.8615535513065208,0.8136926377002479,0.9526435795375889,0.27081774186818947,0.9996814014019448,0.9977472120577398,0.8854771511922219,0.8593649538161812,0.8137170709416014,0.8615322114657252,0.922308026477026,0.1853608767838618,0.9936170168299397,0.9997864424306784,0.5233264896829377,0.9906300030107195,0.5269462166032831,0.9962619839558828,0.6207630249387934,0.9322442490027383,0.8948910303662367,0.40204462322184414,0.9999909542460363,0.5949802084103489,-0.343208470212506,0.7961947853332242,0.8486137805596135,0.4059354864154209,0.9751293936962803,0.7220195079641311,0.8740929521273454,0.8255554412711239,0.5983934569480513,-0.339210318717136,0.7987610629460099,0.8508562085936863,0.5507183151158204,0.9600155081974803,0.9300974202106953,0.29502898345819656,0.205628827045193,0.9957360356839415
MFAO,2024-04-24 00:00:00-04:00,21.82986068725586,23.470991134643555,0.07517823731902135,34.79398609786246,220.5110084585348,16.026058133518468,23.862310754535216,355.2537674958893,52.61235501064979,346.0474537389413,52.019196183857886,358.7272305351967,302.08757597339985,14.813616144457969,20.3281616312734,16,Full Moon,-0.9950260185225599,0.9468295040873927,0.9818540233014609,0.7711779001088696,0.9520313385065488,0.6593913165564409,0.9551481584081283,0.8083316142608554,-0.047218203993615246,0.939809744793253,0.9682968137025143,-0.9100701654573109,-0.9580794117325516,-0.7039249665727648,-0.9777783100817509,-0.581220689050688,-0.9798962043861995,-0.7456646842389708,0.14648760301467076,-0.901096757386918,-0.938596355847811,0.9906617711687736,0.9349973037567059,0.8029600481200958,0.8662120552785548,0.809087383859255,0.9547668842677142,0.27666929270959784,0.9997761121787604,0.9971823801619714,0.8779115888862328,0.8767263841843478,0.7899960566610156,0.8816587928141656,0.9053089066931529,0.143065372793866,0.9875550331860008,0.9980982353154272,0.5393795555200348,0.987118640836681,0.54806801333313,0.9981629664425876,0.5994959811612599,0.9422922969511278,0.905758286113203,0.3977100218938617,0.9999464125790667,0.5894061133869488,-0.35061243653705604,0.7901685028429862,0.8454092168837499,0.40718714267747563,0.9756120804213153,0.7198260689366164,0.8765910400564623,0.8262879929689652,0.5977375707980955,-0.3408984215386677,0.7964710323027926,0.8508933230126057,0.5499028078567831,0.960845021416678,0.9297705034866881,0.2969409172733457,0.2038026165925233,0.9953718342528697
MFIC,2004-04-06 00:00:00-04:00,3.7312231063842773,4.511509418487549,0.20912346698544218,17.020202711281296,210.96303098792873,31.91809592172923,62.67807114857114,70.35349159738738,160.15054369889123,97.09916908428237,335.173030749469,314.94014047369046,262.2017048782079,42.592090562294466,295.70287871347614,17,Full Moon,-0.9705366412758166,0.9663855335473686,0.6989413701112643,0.5971592139500415,-0.8000024989567475,0.17229072827450395,0.7449269868766996,0.46823731833363075,-0.41974513480770886,0.9020444205267584,0.15096193153378207,-0.999861074975162,-0.8506731436342024,-0.7728392414650569,0.6318603929149778,-0.4045648599619302,-0.5622277186405571,-0.24153422876040764,0.6260776258851832,-0.9794731398561888,0.09167806451436077,0.8593173820686352,0.7833095806696231,-0.6188533430712778,0.4197519308007446,0.5483652559698408,0.22532592658049577,-0.6389878994116885,0.982696965533223,-0.10826338883311157,0.9910405878074144,-0.13004984281272314,0.8249054054232057,0.043531499366149286,-0.30466367060295346,-0.9425037201146479,0.9391783123296052,-0.6014691785915116,0.0035421016318990836,0.8930128972350428,-0.09029295591019673,-0.42914561791002553,-0.9786949627805681,0.8848949693580599,-0.7027817553320862,0.4531913908406383,-0.996228827648455,-0.9047497285786085,-0.2087850261579509,-0.4626533009609603,-0.7138903748826515,-0.5288255806068849,-0.7897165293558146,-0.9663874585459865,0.5806023725869183,-0.9477477569249688,0.9382946519188073,0.292850258413409,0.3839881895332614,0.7719558405950077,0.6054546383168612,0.040969731877420035,0.944162295277189,-0.7704062712472636,0.8338745141989169,-0.2905220312045456
MG,2009-10-08 00:00:00-04:00,12.579999923706055,11.25,-0.1057233650057319,195.34267558792428,68.14952129198227,177.80597586597054,172.01794910460694,115.78822521473006,317.2027132319416,177.55189712306276,353.8202412214794,323.89351063829145,270.84665095847726,296.1094587391442,321.4861896689604,20,Waning,-0.6045039410924404,0.9535241437346901,0.9182755947792918,0.18130101855180192,-0.5278460699718263,0.9521785808925916,-0.9302739918024934,-0.6232087520088001,0.2503128301686759,-0.18681180859872543,-0.5898098265915025,-0.3363796331111051,-0.23969310376036052,0.67380339915357,-0.3575010829845912,-0.3322002433394391,0.27010844279986385,-0.2462549695185587,-0.9225574209449546,-0.6696500670345782,-0.28674747005810075,0.9949018050863024,0.4691979966428857,-0.7592342486081388,0.9999901675738797,-0.9975813871273107,-0.8298909228372668,-0.05304488437023975,-0.4741417302801429,-0.8057237917493995,0.555864442750104,-0.8209974181528413,0.9953392345891927,-0.9995053029789418,-0.8819258842823531,-0.15348086202306171,-0.560516282426636,-0.8613476961600414,-0.9309635220395273,0.47310945572619517,-0.5294453051993874,-0.8820834123398995,-0.9067382687265183,-0.999984283156559,-0.9010924273492185,-0.7621128309387699,0.8026350398403217,0.9931893758634648,0.6901746778894522,0.9329959112556755,0.9972067152156894,-0.9978798118825509,-0.8323568822093945,-0.05747261570126355,-0.47804141389368526,-0.8083423836845365,0.866664091782275,0.12232683155429869,0.5341932702578125,0.8449441121077711,0.6011616533480025,0.8847107582073084,0.9991174712803437,0.9043597685592496,0.6341971136018626,0.9035094183091735
MFG,2006-11-08 00:00:00-05:00,13.637541770935059,9.097807884216309,-0.33288505824371034,225.9374139319128,85.55875946764375,226.8602423920713,228.91305905901882,220.74050153419623,236.5196274833103,144.36807668792858,340.86757295064535,317.0596408045552,265.13221225191893,352.5014673795308,304.82968549527664,19,Waning,-0.7702757170798813,0.999870294823074,0.9986516911216301,0.9958892812532706,0.9829924061891334,0.1466124325848686,-0.421513199562963,-0.019585301564283255,0.7750018652024481,-0.5957210814591155,0.19265432806925548,-0.7804465895534803,-0.8023416574296257,-0.709346161034172,-0.8742883869464327,0.5178879064634989,-0.25360915230116365,-0.6225025983045804,-0.999972288696388,-0.05333449510789725,-0.774161510685264,0.999358231182674,0.9943012725766394,0.9858226574626658,0.1306617554762121,-0.4068535209294397,-0.003480151796104437,0.7850794838132736,-0.5827078549890239,0.20843332539539083,0.989844431150483,0.9912003717820888,0.09506424698238161,-0.37387040054347015,0.032342609666796814,0.8067628356890383,-0.5532230271467857,0.24333355819828753,0.9623171270586862,0.23560986854436808,-0.501919452536955,-0.110066330944444,0.714573896136715,-0.6660244418046408,0.10298031046743482,-0.03754282059983315,-0.24780980458451965,0.1643587791133069,0.8778778116667837,-0.43808624876281604,0.36958364660540527,-0.9588222318583055,-0.9918757236160544,-0.5115050965036115,-0.8818522211046372,-0.9424176113072488,0.9149037914372902,0.24640092737311328,0.9794561266614118,0.8086281381550222,0.6166590840569631,0.8147046966809989,0.9773052761366731,0.045899028432446344,0.7694277241017833,0.6733766994693811
