year,is_outbreak,outbreak_name,hard_aspect_count,Jupiter-Saturn_angle,Jupiter-Saturn_aspect,Jupiter-Uranus_angle,Jupiter-Uranus_aspect,Jupiter-Neptune_angle,Jupiter-Neptune_aspect,Jupiter-Pluto_angle,Jupiter-Pluto_aspect,Saturn-Uranus_angle,Saturn-Uranus_aspect,Saturn-Neptune_angle,Saturn-Neptune_aspect,Saturn-Pluto_angle,Saturn-Pluto_aspect,Uranus-Neptune_angle,Uranus-Neptune_aspect,Uranus-Pluto_angle,Uranus-Pluto_aspect,Neptune-Pluto_angle,Neptune-Pluto_aspect
2006,False,None,1,88.76835265610282,Square,125.6566666566791,None,100.39925895327823,None,46.02916322771651,None,145.57498068721807,None,170.83238839061895,None,134.79751588381933,None,25.257407703400872,None,79.6275034289626,None,54.370095725561725,None
2007,False,None,2,109.51647654261356,None,96.78153361739908,Square,69.79091586644591,None,15.440388079436275,None,153.70198983998736,None,179.30739240905947,Opposition,124.95686462204984,None,26.990617750953163,None,81.3411455379628,None,54.35052778700964,None
2008,False,None,1,133.91209398005677,None,64.17830099495234,None,35.4553003415121,None,18.915278517016475,None,161.9096050249909,None,169.36739432156887,None,114.99681546304029,None,28.723000653440238,None,83.09357951196881,Square,54.370578858528575,None
2009,True,Swine Flu (H1N1),2,159.9777506057687,None,30.023132755698555,None,0.40755641153458555,Conjunction,54.8229916856522,None,169.99911663853274,None,159.57019419423412,None,105.1547589201165,None,30.43068916723314,None,84.84612444135075,Square,54.41543527411761,None
2010,False,None,6,176.0479255045061,Opposition,2.0407162757736286,Conjunction,34.16835515461855,None,88.6605330072183,Square,178.08864178027974,Opposition,149.78371934087534,None,95.29154148827558,Square,32.12763887884489,None,86.61981673144464,Square,54.49217785259975,None
2011,False,None,3,155.71646153082693,None,30.47231689754903,None,64.28808540019838,None,118.88824081047969,None,173.81122157162403,Opposition,139.99545306897465,None,85.39529765869338,Square,33.815768502649405,None,88.41592391293068,Square,54.600155410281275,None
2012,False,None,2,138.42740428232963,None,55.88395559878809,None,91.40320146757415,Square,146.15263386362375,None,165.6886401188823,None,130.16939425009625,None,75.41996185404665,None,35.51924586878607,None,90.26867826483567,Square,54.7494323960496,None
2013,False,None,1,123.61482448867565,None,78.82526550889396,None,116.02023197681305,None,170.93629174235141,None,157.55991000243037,None,120.3649435345113,None,65.44888376897293,None,37.19496646791907,None,92.11102623345744,Square,54.916059765538364,None
2014,True,Ebola (West Africa),1,110.23019575118086,None,100.37583684765372,None,139.24113570292008,None,165.649041222464,None,149.3939674011654,None,110.52866854589908,None,55.41884547128316,None,38.86529885526636,None,93.97512192988228,Square,55.10982307461592,None
2015,False,None,2,97.4077806923982,Square,121.4060309846241,None,161.9369965036414,None,142.73333201094601,None,141.1861883229777,None,100.65522280396038,None,45.32555131854781,None,40.530965519017286,None,95.86063700442986,Square,55.329671485412575,None
2016,False,None,4,84.02052324630722,Square,142.95791398065046,None,174.81623052136396,Opposition,119.22498611639591,None,133.02156277304232,None,90.79570727505674,Square,35.20446287008869,None,42.225855497985606,None,97.81709990295366,Square,55.59124440496805,None
2017,False,None,1,69.42456788062285,None,165.826021213755,None,150.2838666144568,None,94.41955865175473,Square,124.74941090562214,None,80.85929873383395,None,24.99499077113188,None,43.89011217178819,None,99.75442013449026,None,55.86430796270207,None
2018,False,None,0,52.09280741197338,None,168.5336055016082,None,122.97808352055208,None,66.8144951546644,None,116.44079808963482,None,70.8852761085787,None,14.721687742691017,None,45.55552198105613,None,101.71911034694381,None,56.163588365887676,None
2019,True,COVID-19 (Start),2,30.872902638024414,None,138.9774689335594,None,91.75254519449271,Square,35.26288462245196,None,108.104566295535,None,60.8796425564683,None,4.38998198442755,Conjunction,47.224923739066696,None,103.71458431110744,None,56.48966057204075,None
2020,True,COVID-19 (Peak),3,6.074794683412279,Conjunction,105.92314320064236,None,56.983493478075786,None,0.12221821874140915,Conjunction,99.84834851723008,None,50.90869879466351,None,5.952576464670869,Conjunction,48.93964972256657,None,105.80092498190095,None,56.86127525933438,None
2021,True,COVID-19 (Delta/Omicron),1,19.645926986201175,None,71.82088419727228,None,21.194984931963916,None,36.0468214278082,None,91.46681118347345,Square,40.84091191816509,None,16.400894441607022,None,50.62589926530836,None,107.86770562508048,None,57.24180635977211,None
2022,False,None,1,42.83040080994584,None,40.24148602488977,None,12.0832423212089,None,69.73256398689409,None,83.0718868348356,Square,30.747158488736943,None,26.90216317694825,None,52.32472834609871,None,109.97405001178387,None,57.64932166568519,None
2023,False,None,0,62.31392257194432,None,12.355432745134522,None,41.68221945999801,None,99.76446593293906,None,74.66935531707884,None,20.631703111946308,None,37.45054336099474,None,54.03765220513253,None,112.11989867807355,None,58.08224647294105,None
2024,False,None,0,78.89935751996688,None,12.582154519571176,None,68.39347182051426,None,126.95509761724696,None,66.3172030003957,None,10.50588569945262,None,48.05574009728008,None,55.811317300943074,None,114.37294309767577,None,58.5616257967327,None
2025,False,None,3,93.10995153272326,Square,35.19873946762992,None,92.75774492506252,Square,151.7996699579371,None,57.91121206509333,None,0.35220660766073464,Conjunction,58.68971842521387,None,57.5590054574326,None,116.6009304903072,None,59.04192503287459,None
