date,sp500_close,sp500_volume,vix_close,returns,realized_vol,jupiter_lon,saturn_lon,mars_lon,js_separation,js_aspect_strength,mars_jupiter_aspect,js_synodic_phase
1940-01-02,12.630000114440918,0,,,,1.3333788267825613,24.44310758849163,358.9802688128272,23.10972876170905,0.0,0.7646889986044642,336.89027123829095
1940-01-03,12.770000457763672,0,,0.01108474600587539,,1.4567107332592728,24.45408715870788,359.65838002795545,22.99737642544858,0.0,0.820166929469616,337.0026235745514
1940-01-04,12.729999542236328,0,,-0.003132413006533996,,1.582686699031765,24.466932066746015,0.33687948451169114,22.884245367714243,0.0,0.8754192785479926,337.11575463228576
1940-01-05,12.65999984741211,0,,-0.005498797905841957,,1.7112785075402546,24.481642241835033,1.0157573332822156,22.77036373429479,0.0,0.9304478825741961,337.2296362657052
1940-01-08,12.670000076293945,0,,0.0007899075041364334,,2.112417849744067,24.536915201112862,3.0544889967045448,22.424497351368814,0.0,0.9057928853039522,337.5755026486312
1940-01-09,12.550000190734863,0,,-0.009471182702169512,,2.251131563570491,24.559026707868398,3.7346900358007358,22.307895144297902,0.0,0.8516441527769756,337.6921048557021
1940-01-10,12.569999694824219,0,,0.0015935859589961687,,2.392283662948997,24.582966385275686,4.41516029790762,22.1906827223267,0.0,0.7977123365041378,337.8093172776733
1940-01-11,12.369999885559082,0,,-0.01591088417826203,,2.535837841368198,24.60872541941111,5.095873452013579,22.072887578042923,0.0,0.743996438935462,337.9271124219571
1940-01-12,12.130000114440918,0,,-0.019401760172879534,,2.6817589087649596,24.636295723673932,5.7768036181216,21.954536814908977,0.0,0.690495529064336,338.045463185091
1940-01-15,12.069999694824219,0,,-0.004946448396588865,,3.1333864062880625,24.729800686171746,7.8206485054932875,21.596414279883675,0.0,0.5312737900794775,338.4035857201163
1940-01-16,12.140000343322754,0,,0.005799556774517045,,3.288441325992062,24.76454290837859,8.502202758623353,21.476101582386548,0.0,0.4786238567368709,338.52389841761345
1940-01-17,12.149999618530273,0,,0.0008236635028613382,,3.445698645282323,24.801059144465164,9.183855189814539,21.355360499182837,0.0,0.4261843455467784,338.64463950081716
1940-01-18,12.130000114440918,0,,-0.0016460497709690491,,3.605125872479381,24.839340449618337,9.865583086724179,21.23421457713897,0.0,0.3739542785755201,338.76578542286103
1940-01-19,12.149999618530273,0,,0.0016487637181095138,,3.766689966236814,24.87937664590229,10.54736342692105,21.1126866796655,0.0,0.32193265393157644,338.8873133203345
1940-01-22,12.0600004196167,0,,-0.007407341706934245,,4.263856135579827,25.00988443957923,12.592778876932693,20.746028303999424,0.0,0.16710772586471345,339.2539716960006
1940-01-23,12.109999656677246,0,,0.004145873575528203,,4.43361207128123,25.056797320430395,13.27452541924532,20.623185249149174,0.0,0.115908665203591,339.3768147508508
1940-01-24,12.270000457763672,0,,0.013212287830099534,,4.605319880546865,25.10538173661938,13.956202403182111,20.500061856072534,0.0,0.06491174773647546,339.49993814392747
