family_id,birth_year,birth_order,source
915238,1947,2,sibling_roster
913056,1940,1,sibling_roster
913056,1941,2,sibling_roster
913056,1944,3,sibling_roster
913056,1946,4,sibling_roster
913056,1948,5,sibling_roster
913056,1950,6,sibling_roster
905731,1938,3,graduate
905731,1936,1,sibling_roster
905731,1937,2,sibling_roster
905731,1938,3,sibling_roster
905731,1939,4,sibling_roster
905731,1942,5,sibling_roster
923196,1938,4,graduate
923196,1923,1,sibling_roster
923196,1932,2,sibling_roster
923196,1935,3,sibling_roster
923196,1939,4,sibling_roster
925476,1938,6,graduate
913211,1938,2,graduate
913211,1928,1,sibling_roster
913211,1939,2,sibling_roster
918155,1939,9,graduate
918155,1923,1,sibling_roster
918155,1927,3,sibling_roster
918155,1930,5,sibling_roster
918155,1934,7,sibling_roster
918155,1940,9,sibling_roster
918155,1940,10,sibling_roster
918155,1942,11,sibling_roster
926890,1939,5,graduate
926890,1926,1,sibling_roster
926890,1928,2,sibling_roster
926890,1930,3,sibling_roster
926890,1932,4,sibling_roster
926890,1940,5,sibling_roster
909780,1938,2,graduate
909780,1935,1,sibling_roster
909780,1937,2,sibling_roster
909780,1939,3,sibling_roster
909780,1941,4,sibling_roster
927489,1938,2,graduate
917188,1939,5,graduate
917188,1926,1,sibling_roster
917188,1930,2,sibling_roster
917188,1934,3,sibling_roster
917188,1940,4,sibling_roster
908078,1938,2,graduate
908078,1938,1,sibling_roster
908078,1940,2,sibling_roster
908078,1940,3,sibling_roster
908078,1942,4,sibling_roster
900145,1939,2,graduate
900145,1935,1,sibling_roster
900145,1939,2,sibling_roster
904389,1940,1,sibling_roster
904389,1941,2,sibling_roster
904389,1944,3,sibling_roster
904389,1950,4,sibling_roster
904389,1953,5,sibling_roster
922248,1940,1,sibling_roster
922248,1941,2,sibling_roster
906495,1939,6,graduate
906495,1920,1,sibling_roster
906495,1925,2,sibling_roster
906495,1927,3,sibling_roster
906495,1935,4,sibling_roster
906495,1935,5,sibling_roster
906495,1940,6,sibling_roster
912063,1939,3,graduate
912063,1936,1,sibling_roster
912063,1937,2,sibling_roster
912063,1939,3,sibling_roster
912063,1944,4,sibling_roster
912063,1952,5,sibling_roster
916477,1939,3,graduate
916477,1935,1,sibling_roster
916477,1940,3,sibling_roster
911242,1939,3,graduate
911242,1935,1,sibling_roster
911242,1937,2,sibling_roster
911242,1939,3,sibling_roster
911242,1940,4,sibling_roster
911242,1947,5,sibling_roster
916146,1939,3,graduate
916146,1935,1,sibling_roster
916146,1937,2,sibling_roster
916146,1939,3,sibling_roster
930593,1939,3,graduate
930593,1935,1,sibling_roster
930593,1936,2,sibling_roster
930593,1940,3,sibling_roster
921387,1940,1,sibling_roster
921387,1942,2,sibling_roster
921387,1951,3,sibling_roster
921387,1956,4,sibling_roster
921387,1961,5,sibling_roster
920734,1939,2,graduate
925254,1939,1,sibling_roster
925254,1941,2,sibling_roster
925254,1960,3,sibling_roster
925254,1962,4,sibling_roster
919536,1939,1,sibling_roster
923545,1939,1,sibling_roster
923545,1940,2,sibling_roster
923545,1949,3,sibling_roster
931194,1939,5,graduate
905314,1939,3,graduate
905314,1935,1,sibling_roster
905314,1938,2,sibling_roster
905314,1939,3,sibling_roster
905314,1941,4,sibling_roster
923065,1939,1,sibling_roster
914868,1940,1,sibling_roster
914868,1941,2,sibling_roster
914868,1944,3,sibling_roster
914868,1946,4,sibling_roster
914868,1947,5,sibling_roster
914868,1950,6,sibling_roster
914868,1953,7,sibling_roster
914868,1954,8,sibling_roster
914868,1958,9,sibling_roster
932669,1940,1,sibling_roster
932669,1943,2,sibling_roster
932669,1946,3,sibling_roster
932669,1951,4,sibling_roster
921033,1939,4,graduate
919858,1938,2,graduate
919858,1935,1,sibling_roster
919858,1939,2,sibling_roster
916795,1939,1,sibling_roster
916795,1944,2,sibling_roster
916795,1948,3,sibling_roster
918784,1939,4,graduate
929614,1938,7,graduate
929614,1921,1,sibling_roster
929614,1924,2,sibling_roster
929614,1926,3,sibling_roster
929614,1929,4,sibling_roster
929614,1932,5,sibling_roster
929614,1936,6,sibling_roster
929614,1939,7,sibling_roster
929614,1942,8,sibling_roster
929614,1947,9,sibling_roster
921078,1939,2,graduate
921078,1936,1,sibling_roster
921078,1939,2,sibling_roster
921078,1940,3,sibling_roster
921078,1943,4,sibling_roster
921078,1952,5,sibling_roster
928562,1939,3,graduate
928562,1935,1,sibling_roster
928562,1937,2,sibling_roster
928562,1940,3,sibling_roster
928562,1942,4,sibling_roster
928562,1947,5,sibling_roster
925474,1940,1,sibling_roster
925474,1941,2,sibling_roster
925474,1955,3,sibling_roster
908559,1937,5,graduate
908559,1930,1,sibling_roster
908559,1933,2,sibling_roster
908559,1935,3,sibling_roster
908559,1937,4,sibling_roster
908559,1938,5,sibling_roster
908559,1949,6,sibling_roster
920626,1939,2,graduate
920626,1939,1,sibling_roster
920626,1941,2,sibling_roster
903609,1940,1,sibling_roster
903609,1942,2,sibling_roster
903609,1947,3,sibling_roster
931096,1937,6,graduate
931096,1918,1,sibling_roster
931096,1919,2,sibling_roster
931096,1922,3,sibling_roster
931096,1926,4,sibling_roster
931096,1927,5,sibling_roster
931096,1933,6,sibling_roster
931096,1935,7,sibling_roster
931096,1938,8,sibling_roster
913181,1940,2,graduate
913181,1937,1,sibling_roster
913181,1940,2,sibling_roster
913181,1951,3,sibling_roster
932646,1938,3,graduate
932646,1933,1,sibling_roster
932646,1936,2,sibling_roster
932646,1939,3,sibling_roster
932646,1941,4,sibling_roster
932646,1942,5,sibling_roster
932646,1951,6,sibling_roster
916801,1939,1,sibling_roster
916801,1943,2,sibling_roster
913344,1939,2,graduate
913344,1937,1,sibling_roster
913344,1939,2,sibling_roster
913344,1941,3,sibling_roster
913344,1942,4,sibling_roster
913344,1944,5,sibling_roster
913344,1946,6,sibling_roster
913344,1949,7,sibling_roster
913344,1950,8,sibling_roster
913344,1952,9,sibling_roster
913344,1954,10,sibling_roster
913344,1955,11,sibling_roster
929536,1940,1,sibling_roster
929536,1943,2,sibling_roster
928505,1940,1,sibling_roster
928505,1941,2,sibling_roster
928505,1946,3,sibling_roster
932647,1940,1,sibling_roster
932647,1941,2,sibling_roster
932647,1944,3,sibling_roster
932647,1944,4,sibling_roster
932647,1946,5,sibling_roster
932647,1949,6,sibling_roster
932647,1955,7,sibling_roster
930922,1939,4,graduate
930922,1932,1,sibling_roster
930922,1937,2,sibling_roster
930922,1938,3,sibling_roster
930922,1939,4,sibling_roster
930922,1949,5,sibling_roster
900106,1939,1,sibling_roster
900106,1941,2,sibling_roster
900106,1946,3,sibling_roster
900106,1948,4,sibling_roster
900106,1950,5,sibling_roster
900106,1958,6,sibling_roster
923803,1939,2,graduate
923803,1935,1,sibling_roster
923803,1939,2,sibling_roster
909615,1939,2,graduate
909615,1937,1,sibling_roster
909615,1940,2,sibling_roster
909615,1944,3,sibling_roster
909615,1946,4,sibling_roster
909615,1951,5,sibling_roster
909615,1961,6,sibling_roster
902697,1939,3,graduate
902697,1934,1,sibling_roster
902697,1938,2,sibling_roster
902697,1940,3,sibling_roster
902697,1945,4,sibling_roster
902697,1950,5,sibling_roster
902697,1956,6,sibling_roster
930205,1939,5,graduate
930205,1933,1,sibling_roster
930205,1935,2,sibling_roster
930205,1937,3,sibling_roster
930205,1938,4,sibling_roster
930205,1940,5,sibling_roster
930205,1941,6,sibling_roster
930205,1942,7,sibling_roster
930205,1944,8,sibling_roster
930205,1946,9,sibling_roster
930205,1949,10,sibling_roster
930205,1950,11,sibling_roster
919255,1939,2,graduate
919255,1934,1,sibling_roster
919255,1940,2,sibling_roster
919255,1941,3,sibling_roster
919255,1946,4,sibling_roster
919255,1951,5,sibling_roster
904040,1940,1,sibling_roster
904040,1941,2,sibling_roster
904040,1943,3,sibling_roster
904040,1953,4,sibling_roster
926661,1939,2,graduate
926661,1937,1,sibling_roster
926661,1940,2,sibling_roster
926661,1941,3,sibling_roster
931032,1938,7,graduate
904109,1939,5,graduate
904109,1935,1,sibling_roster
904109,1936,2,sibling_roster
904109,1937,3,sibling_roster
904109,1939,4,sibling_roster
904109,1940,5,sibling_roster
908960,1940,1,sibling_roster
908960,1950,2,sibling_roster
908328,1938,9,graduate
919217,1939,1,sibling_roster
919217,1942,2,sibling_roster
919217,1947,3,sibling_roster
932747,1939,4,graduate
911335,1939,2,graduate
911335,1933,1,sibling_roster
911335,1939,2,sibling_roster
912377,1939,6,graduate
919978,1939,4,graduate
919978,1923,1,sibling_roster
919978,1934,2,sibling_roster
919978,1935,3,sibling_roster
919978,1940,4,sibling_roster
924059,1939,2,graduate
924059,1936,1,sibling_roster
924059,1940,2,sibling_roster
924059,1945,3,sibling_roster
924654,1939,1,sibling_roster
924654,1940,2,sibling_roster
924654,1944,3,sibling_roster
924654,1949,4,sibling_roster
909253,1939,3,graduate
911781,1938,3,graduate
911781,1931,1,sibling_roster
911781,1933,2,sibling_roster
911781,1939,3,sibling_roster
911781,1949,4,sibling_roster
907886,1939,3,graduate
921800,1941,1,sibling_roster
921800,1944,2,sibling_roster
921800,1951,3,sibling_roster
921239,1939,2,graduate
921239,1939,1,sibling_roster
921239,1940,2,sibling_roster
921239,1942,3,sibling_roster
921239,1945,4,sibling_roster
921239,1948,5,sibling_roster
921239,1950,6,sibling_roster
921239,1953,7,sibling_roster
921239,1954,8,sibling_roster
921239,1955,9,sibling_roster
921239,1959,10,sibling_roster
914337,1939,3,graduate
914337,1934,1,sibling_roster
914337,1937,2,sibling_roster
914337,1940,3,sibling_roster
914337,1942,4,sibling_roster
914337,1945,5,sibling_roster
914337,1950,6,sibling_roster
920800,1939,7,graduate
920800,1922,1,sibling_roster
920800,1925,2,sibling_roster
920800,1927,3,sibling_roster
920800,1929,4,sibling_roster
920800,1932,5,sibling_roster
920800,1935,6,sibling_roster
920800,1939,7,sibling_roster
904683,1939,3,graduate
904683,1934,1,sibling_roster
904683,1937,2,sibling_roster
904683,1940,3,sibling_roster
904683,1943,4,sibling_roster
904683,1950,5,sibling_roster
907231,1940,1,sibling_roster
907231,1942,2,sibling_roster
907231,1948,3,sibling_roster
907231,1952,4,sibling_roster
907231,1959,5,sibling_roster
925464,1939,1,sibling_roster
925464,1953,2,sibling_roster
925464,1958,3,sibling_roster
907834,1939,3,graduate
922329,1939,7,graduate
922329,1926,1,sibling_roster
922329,1928,2,sibling_roster
922329,1930,3,sibling_roster
922329,1932,4,sibling_roster
922329,1933,5,sibling_roster
922329,1936,6,sibling_roster
922329,1940,7,sibling_roster
922329,1941,8,sibling_roster
922329,1944,9,sibling_roster
922329,1947,10,sibling_roster
922329,1957,11,sibling_roster
930728,1939,4,graduate
930728,1933,1,sibling_roster
930728,1935,2,sibling_roster
930728,1937,3,sibling_roster
930728,1940,4,sibling_roster
930728,1944,5,sibling_roster
930728,1953,6,sibling_roster
914769,1940,1,sibling_roster
905725,1938,2,graduate
905725,1939,1,sibling_roster
905725,1942,2,sibling_roster
928844,1939,8,graduate
916306,1939,1,sibling_roster
916306,1941,2,sibling_roster
916306,1942,3,sibling_roster
916306,1944,4,sibling_roster
916306,1945,5,sibling_roster
916306,1947,6,sibling_roster
916306,1954,7,sibling_roster
916306,1958,8,sibling_roster
916306,1958,9,sibling_roster
906323,1940,1,sibling_roster
906323,1943,2,sibling_roster
928540,1939,3,graduate
928540,1929,1,sibling_roster
928540,1940,2,sibling_roster
929238,1940,4,graduate
929238,1936,1,sibling_roster
929238,1936,2,sibling_roster
929238,1938,3,sibling_roster
929238,1941,4,sibling_roster
929238,1949,5,sibling_roster
920514,1939,2,graduate
931231,1940,1,sibling_roster
931231,1945,2,sibling_roster
933046,1938,10,graduate
933046,1902,1,sibling_roster
933046,1912,2,sibling_roster
933046,1916,3,sibling_roster
933046,1918,4,sibling_roster
933046,1925,5,sibling_roster
933046,1927,6,sibling_roster
933046,1928,7,sibling_roster
933046,1936,8,sibling_roster
933046,1938,9,sibling_roster
933046,1938,10,sibling_roster
901088,1940,1,sibling_roster
901088,1941,2,sibling_roster
901088,1944,3,sibling_roster
901088,1945,4,sibling_roster
901088,1949,5,sibling_roster
921812,1939,2,graduate
921812,1933,1,sibling_roster
921812,1939,2,sibling_roster
921812,1947,3,sibling_roster
921812,1951,4,sibling_roster
921812,1951,5,sibling_roster
920902,1940,5,graduate
920902,1927,1,sibling_roster
920902,1929,2,sibling_roster
920902,1930,3,sibling_roster
920902,1932,4,sibling_roster
920902,1940,5,sibling_roster
914403,1939,8,graduate
914403,1925,1,sibling_roster
914403,1926,2,sibling_roster
914403,1928,3,sibling_roster
914403,1929,4,sibling_roster
914403,1934,5,sibling_roster
914403,1935,6,sibling_roster
914403,1936,7,sibling_roster
914403,1938,8,sibling_roster
914403,1939,9,sibling_roster
914403,1942,10,sibling_roster
914403,1948,11,sibling_roster
923658,1939,2,graduate
923658,1939,1,sibling_roster
923658,1940,2,sibling_roster
923658,1942,3,sibling_roster
923658,1945,4,sibling_roster
923658,1947,5,sibling_roster
912928,1938,2,graduate
912928,1931,1,sibling_roster
912928,1939,2,sibling_roster
919529,1939,10,graduate
919529,1921,1,sibling_roster
919529,1925,2,sibling_roster
919529,1926,3,sibling_roster
919529,1928,4,sibling_roster
919529,1930,5,sibling_roster
919529,1932,6,sibling_roster
919529,1935,7,sibling_roster
919529,1940,8,sibling_roster
923587,1939,2,graduate
